[24.11.2024, 23:31:30] Моля💂🏽: Детка, с днем рождения тебя❤️ 
Желаю много бабла, много возможностей которые приведут тебя к тем высотам которых ты мечтаешь🙏 
[18.05.2025, 19:58:30] Акнур: Бро
[18.05.2025, 19:58:33] Акнур: Адлет шарит
[18.05.2025, 19:58:36] Акнур: Сол го айткан
[18.05.2025, 19:58:41] Моля💂🏽: Схахпхпх
[18.05.2025, 19:58:52] Моля💂🏽: В егов гдк смотреть та вхаххапх
‎[18.05.2025, 19:59:04] Акнур: ‎<attached: -0000948-Адлет.vcf>
[18.05.2025, 19:59:08] Акнур: Он вот сделал мне
[18.05.2025, 19:59:14] Акнур: Мен де не шарю
[18.05.2025, 19:59:29] Акнур: Просто выбери землю чтоб ты потом можешь продать
[18.05.2025, 19:59:33] Акнур: Алуа тоже подала кажется
[18.05.2025, 19:59:35] Акнур: Тогда еще
[18.05.2025, 19:59:43] Акнур: Город или село
[18.05.2025, 19:59:47] Акнур: Бир каланын
[18.05.2025, 20:00:07] Моля💂🏽: Дааа
[18.05.2025, 20:00:17] Моля💂🏽: Жылдар отсе де земля есть земля
[18.05.2025, 20:00:23] Акнур: Think about it деп
[18.05.2025, 20:00:26] Акнур: дааа
‎[18.05.2025, 20:02:02] Моля💂🏽: ‎image omitted
[18.05.2025, 20:02:08] Моля💂🏽: Щя он там чет смотрит ахахах
[18.05.2025, 20:02:16] Акнур: Вводит
[18.05.2025, 20:02:17] Акнур: Туда
[18.05.2025, 20:02:20] Акнур: Ноутпен сидит
[18.05.2025, 20:02:28] Акнур: Нет блеять кредит берет
[18.05.2025, 20:02:31] Акнур: Ахаххаха
[18.05.2025, 20:02:36] Моля💂🏽: 🤣🤣🤣
[18.05.2025, 20:02:48] Моля💂🏽: Ему не дадут
[18.05.2025, 20:02:55] Моля💂🏽: Я щакрыла доступ 🤣🤣
‎[18.05.2025, 20:02:57] Акнур: ‎audio omitted
‎[18.05.2025, 20:03:04] Акнур: ‎audio omitted
‎[18.05.2025, 20:03:24] Акнур: ‎audio omitted
[18.05.2025, 20:03:32] Моля💂🏽: Я тож так думаю что не подалась
[22.05.2025, 15:10:14] Акнур:
‎[22.05.2025, 15:10:14] Акнур: ‎image omitted
‎[22.05.2025, 15:10:14] Акнур: ‎image omitted
‎[22.05.2025, 15:10:14] Акнур: ‎image omitted
[22.05.2025, 16:12:21] Моля💂🏽: Бляяяя и что ты кюему написала
[22.05.2025, 16:12:31] Акнур: Алибек мой ж друг
[22.05.2025, 16:12:33] Акнур: А не его
[22.05.2025, 16:12:42] Акнур: Алибек пишет согласен с тобой
[22.05.2025, 16:12:43] Акнур: Акнур
[22.05.2025, 16:12:44] Акнур: Говорит
‎[22.05.2025, 16:13:07] Моля💂🏽: ‎audio omitted
‎[22.05.2025, 16:13:15] Моля💂🏽: ‎audio omitted
[22.05.2025, 16:13:20] Акнур: Магомед
[22.05.2025, 16:13:23] Акнур: Я ушла
[22.05.2025, 16:13:27] Акнур: От его дома
[22.05.2025, 16:13:29] Акнур: Я ж к нему пошла
[22.05.2025, 16:13:30] Акнур: Домой
[22.05.2025, 16:13:34] Акнур: Он говорит я не взял
[22.05.2025, 16:13:38] Акнур: Я сказала ок понятно
[22.05.2025, 16:13:45] Акнур: Смысла нету у тебя дома оставаться
[22.05.2025, 16:13:45] Моля💂🏽: И больше не звонил он
[22.05.2025, 16:13:47] Моля💂🏽: Че ушла деп
[22.05.2025, 16:13:47] Акнур: Нет
[22.05.2025, 16:13:49] Акнур: 🤣🤣🤣🤣
[22.05.2025, 16:13:54] Моля💂🏽: Ой бляяя
[22.05.2025, 16:13:56] Моля💂🏽: Далб
[22.05.2025, 16:14:03] Акнур: Кавказские мужики не мое
[22.05.2025, 16:14:06] Акнур: Оны да тусиндик
[22.05.2025, 16:14:08] Акнур: 😂😂😂
[22.05.2025, 16:16:14] Моля💂🏽: Хахаахпхпх бляяя
[22.05.2025, 16:16:15] Моля💂🏽: Хаахха
[23.05.2025, 10:47:06] Акнур: Жан
[23.05.2025, 10:47:08] Акнур: Ты тут?
‎[23.05.2025, 11:12:57] Моля💂🏽: ‎audio omitted
[23.05.2025, 11:13:25] Акнур: Да нашла до стипендии 20тыс нужен был мама скинула
[23.05.2025, 11:13:30] Акнур: А магомедпен урыспаганда
[23.05.2025, 11:13:31] Акнур: Скинул б он
[23.05.2025, 11:13:33] Акнур: Говорит
[23.05.2025, 11:13:34] Акнур: Скааа
[23.05.2025, 11:13:41] Моля💂🏽: Ахахпххпхппх
[23.05.2025, 11:13:44] Моля💂🏽: Мама топчик вхах
[23.05.2025, 11:13:49] Моля💂🏽: Бля он так и не напиал
[23.05.2025, 11:13:55] Моля💂🏽: Кавказки мужикпин деп
[23.05.2025, 11:13:57] Моля💂🏽: Али жур са
[23.05.2025, 11:14:01] Акнур: я написала ему мне надо забрать сумку
[23.05.2025, 11:14:02] Моля💂🏽: Кокирегин кериа
[23.05.2025, 11:14:03] Акнур: И тапочки
[23.05.2025, 11:14:05] Акнур: Деп
[23.05.2025, 11:14:08] Акнур: Передай деп
[23.05.2025, 11:14:11] Моля💂🏽: Он че
[23.05.2025, 11:14:15] Акнур: Ок деды
[23.05.2025, 11:14:18] Акнур: Таро говорит
[23.05.2025, 11:14:18] Моля💂🏽: Бляя
[23.05.2025, 11:14:20] Моля💂🏽: Сука
[23.05.2025, 11:14:21] Акнур: Помиритесь скоро
[23.05.2025, 11:14:22] Акнур: Дейды
[23.05.2025, 11:14:31] Акнур: Он сам не понимает ты окончательно ушла или нет
[23.05.2025, 11:14:44] Акнур: Айгерим таро ашка н🤣🤣🤣
[23.05.2025, 11:14:47] Моля💂🏽: А пусть понимает вхахха
[23.05.2025, 11:14:50] Моля💂🏽: 🤣🤣
[23.05.2025, 11:14:58] Акнур: Че думает как дышит ашып тастадык
[23.05.2025, 11:14:59] Акнур: 🤣🤣🤣
[23.05.2025, 11:15:13] Моля💂🏽: Патак шатагын шыгарып десей вхахах
[23.05.2025, 11:15:30] Акнур: Он думает что ты думаешь выебываться перетягивание на себя болады
[23.05.2025, 11:15:31] Акнур: Деп
[23.05.2025, 11:15:32] Акнур: Дейды
[23.05.2025, 11:16:09] Моля💂🏽: Огооо
[23.05.2025, 11:16:24] Акнур: Скорпион Жан
[23.05.2025, 11:16:27] Акнур: Нельзя забывать
[26.06.2025, 19:11:36] Акнур: осек
[26.06.2025, 19:11:39] Акнур: Сып свежий
[26.06.2025, 19:11:43] Акнур: Мы с ербол походу встречаемся
[26.06.2025, 19:11:49] Акнур: магомедке давай дедм
[26.06.2025, 19:11:52] Акнур: Дагестанцу
[26.06.2025, 19:11:54] Акнур: Вовремя оказывается
[26.06.2025, 19:12:00] Акнур: Так как он нас увидел с ербол
[26.06.2025, 19:12:02] Акнур: В малене
[26.06.2025, 19:12:23] Акнур: ербол Жаным мне сказал Акнур я тебе гвоооил вообще что я тебя люблю? Дейды
[26.06.2025, 19:12:36] Акнур: Я такая пиздец все байга тием осы балага дедм
[26.06.2025, 19:12:37] Акнур: 🤣🤣🤣🤣🤘
[26.06.2025, 20:36:27] Моля💂🏽: Ееее деткааааа
[26.06.2025, 20:36:27] Моля💂🏽: Базару неттт
[26.06.2025, 20:36:28] Моля💂🏽: Жаннн, скоро тойларын болсын🤪🙏
[26.06.2025, 20:36:28] Моля💂🏽: Как раз тойга пздц зочу
[26.06.2025, 20:36:28] Моля💂🏽: И самое главное тут, что ваши чувства взаимны это пздц самое вхуенное и самое лучшее чувство ❤️😍
[26.06.2025, 20:36:28] Моля💂🏽: Мага прям рил вовремя кетти
[26.06.2025, 20:36:28] Моля💂🏽: Не зря говорят барлыгы оз орнымен 🤪
[26.06.2025, 20:39:35] Акнур: Аумин келеси жыл той деп журмин озм
[26.06.2025, 20:39:36] Акнур: 😆😆😆😆
[26.06.2025, 20:39:39] Акнур: Он не в курсе
[26.06.2025, 20:39:40] Акнур: 🤣🤣🤣
[26.06.2025, 20:39:53] Акнур: Пиздец жеп койгым келеды когда вижу
[26.06.2025, 20:39:59] Акнур: Что за чувство
[26.06.2025, 20:40:40] Моля💂🏽: Брат, самое главное ты в курсах а до него ваше пох🤣🤣
[26.06.2025, 20:41:10] Акнур: байга тием щщсс осы Ерболга
[26.06.2025, 20:41:12] Акнур: 😆😆😂😆
[26.06.2025, 20:49:51] Моля💂🏽: Любопь деп аталад олай
[26.06.2025, 20:49:51] Моля💂🏽: Вхахахахах
[26.06.2025, 20:49:52] Моля💂🏽: Это ж ахуенное чувство так что от души кайфуй детка
‎[26.06.2025, 20:50:16] Акнур: ‎image omitted
[26.06.2025, 20:52:11] Моля💂🏽: Брат Аумин❤️❤️❤️
[26.06.2025, 20:52:18] Моля💂🏽: Уаяяяяяяяяяя
[26.06.2025, 20:52:20] Моля💂🏽: 😍😍😍
‎[26.06.2025, 20:52:37] Акнур: ‎video omitted
[26.06.2025, 20:53:01] Моля💂🏽: Хвхахппхпхпх
[26.06.2025, 20:53:11] Моля💂🏽: Че за татуха у него
[26.06.2025, 20:53:14] Моля💂🏽: Че значит
[26.06.2025, 20:53:17] Акнур: Код какой то
[26.06.2025, 20:53:21] Акнур: Кеше Акнур я тебя люблю деген
[26.06.2025, 20:53:22] Моля💂🏽: Вы ебать смотритесь вместе
[26.06.2025, 20:53:23] Акнур: Сиге Салды
[26.06.2025, 20:53:24] Моля💂🏽: 🤪🤪
[26.06.2025, 20:53:25] Акнур: Барине
[26.06.2025, 20:53:26] Акнур: 🤣🤣🤣
[26.06.2025, 20:53:33] Акнур: Мы на свадьбу идем 5го июля
[26.06.2025, 20:53:37] Акнур: Его брат женится
[26.06.2025, 20:53:42] Моля💂🏽: Оооо
[26.06.2025, 20:53:42] Акнур:
‎[26.06.2025, 20:53:42] Акнур: ‎image omitted
‎[26.06.2025, 20:53:42] Акнур: ‎image omitted
‎[26.06.2025, 20:53:42] Акнур: ‎image omitted
‎[26.06.2025, 20:53:42] Акнур: ‎image omitted
[26.06.2025, 20:53:50] Моля💂🏽: До какого?
[26.06.2025, 20:53:58] Моля💂🏽: Адеми Жан
[26.06.2025, 20:54:00] Акнур: 5го июля свадьба
[26.06.2025, 20:54:03] Акнур: Бир ак кун го
[26.06.2025, 20:54:04] Акнур: 😆😆😆
[26.06.2025, 20:54:06] Акнур: До какого нес
[26.06.2025, 20:54:07] Акнур: 🤣🤣🤣
[26.06.2025, 20:54:16] Моля💂🏽: Я думала в ату келесиндер
[26.06.2025, 20:54:17] Моля💂🏽: Вхахаххааххп
[26.06.2025, 20:54:20] Акнур: Нет в Астане
[26.06.2025, 20:54:21] Акнур: Будет
[26.06.2025, 20:54:25] Моля💂🏽: Ой бля вхахах
[26.06.2025, 20:54:32] Моля💂🏽: Думала в ату келесн
[26.06.2025, 20:54:33] Моля💂🏽: Вхахахаха
[26.06.2025, 20:54:36] Моля💂🏽: Ахуенно детка
[26.06.2025, 20:54:50] Акнур: на каблуках барып
[26.06.2025, 20:54:52] Акнур: Пиздец болып барам
[26.06.2025, 20:54:55] Акнур: Там будет его батя
[26.06.2025, 20:54:58] Моля💂🏽: Как раз с будущими родственникиами своими познакомишься😍
[26.06.2025, 20:55:12] Моля💂🏽: Тем более
[26.06.2025, 20:57:57] Акнур: Моля
[26.06.2025, 20:58:00] Акнур: Жыгыт тап тын а
[26.06.2025, 20:58:04] Акнур: Ба
[26.06.2025, 20:58:06] Акнур: Адлет спрашивает
[26.06.2025, 20:58:17] Моля💂🏽: Какой жигит епрст
[26.06.2025, 20:58:21] Моля💂🏽: Меня работа ебет
[26.06.2025, 20:58:25] Моля💂🏽: Пчм я долго не отв
[26.06.2025, 20:58:25] Моля💂🏽: Вхахахах
[26.06.2025, 20:58:32] Моля💂🏽: Только с работы епрст вышла
[26.06.2025, 20:58:49] Моля💂🏽: Сука еще мсч ебать все заебали гондоны ебанутые
‎[26.06.2025, 20:59:19] Моля💂🏽: ‎image omitted
‎[26.06.2025, 20:59:46] Моля💂🏽: ‎video omitted
‎[26.06.2025, 21:00:08] Моля💂🏽: ‎image omitted
‎[26.06.2025, 21:00:08] Моля💂🏽: ‎image omitted
[26.06.2025, 21:00:11] Моля💂🏽: Ты пробовала?
[26.06.2025, 21:01:52] Акнур: Угроза Жан
[26.06.2025, 21:01:53] Акнур: 😂😂😂
[26.06.2025, 21:01:56] Акнур: Нет
[26.06.2025, 21:01:58] Акнур: Каз сурайм
[26.06.2025, 21:02:22] Моля💂🏽: Хаахахахпх
‎[26.06.2025, 21:03:10] Акнур: ‎image omitted
[26.06.2025, 21:03:30] Моля💂🏽: Ахахпххппх
[26.06.2025, 21:03:37] Моля💂🏽: Ты че через сайт та вхахах
[26.06.2025, 21:03:43] Моля💂🏽: Скаченного нет?
[26.06.2025, 21:04:31] Моля💂🏽: Но с одной сотороны пздц подходит тебе
[26.06.2025, 21:04:44] Акнур: Нет память жок блеааа
[26.06.2025, 21:04:46] Акнур: 😆😆😆
[26.06.2025, 21:05:08] Моля💂🏽: За то фоток дохуя это лучше 🤌🏻
[26.06.2025, 21:05:27] Моля💂🏽: И самое гл столько воспоминани благодаря этим фоткам
[26.06.2025, 21:05:29] Моля💂🏽: Ебать
[26.06.2025, 21:05:32] Моля💂🏽: Моля Хаям ска
[26.06.2025, 21:05:40] Акнур: Барин сурайм мне сейчас налево или направо деп
[26.06.2025, 21:05:41] Акнур: Ахахаххаахза
‎[26.06.2025, 21:06:08] Акнур: ‎image omitted
[26.06.2025, 21:06:19] Моля💂🏽: Ужас
[26.06.2025, 21:06:23] Моля💂🏽: Анау карын ее
[26.06.2025, 21:06:24] Моля💂🏽: Не
[26.06.2025, 21:06:25] Моля💂🏽: Ахаххппх
[26.06.2025, 21:06:43] Моля💂🏽: Пздц волосы черные сука
[26.06.2025, 21:06:44] Моля💂🏽: Не мынау
[26.06.2025, 21:06:45] Моля💂🏽: Хахахппх
[26.06.2025, 21:06:56] Моля💂🏽: Это когда было дата кандай тур
[26.06.2025, 21:06:59] Моля💂🏽: Еще какие фото бар
[26.06.2025, 21:07:30] Акнур: 12.02.2022
[26.06.2025, 21:07:53] Моля💂🏽: Ебать жан 3 года назад пздццц
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
‎[26.06.2025, 21:08:59] Акнур: ‎image omitted
[26.06.2025, 21:09:47] Моля💂🏽: Ахахпхп анау старый какой та далб берген гул емес па в пакете прозрачнос вхахаха
[26.06.2025, 21:10:04] Акнур: Аххсхахаха
[26.06.2025, 21:10:05] Акнур: Да
[26.06.2025, 21:10:05] Моля💂🏽: Бля осы кезде мы с кем сидели ишип ахахпхп
[26.06.2025, 21:10:10] Акнур: Алексей
[26.06.2025, 21:10:11] Акнур: Деген
[26.06.2025, 21:10:12] Акнур: Орыстармен
[26.06.2025, 21:10:14] Акнур: Курили
[26.06.2025, 21:10:17] Акнур: Ахаххахахаха
[26.06.2025, 21:10:55] Моля💂🏽: Хахапххппх
[26.06.2025, 21:11:00] Моля💂🏽: Ебать как ты это все помнишь
[26.06.2025, 21:11:05] Моля💂🏽: У меня блять провал вхахахах
[26.06.2025, 21:25:07] Акнур: Блмецм сондайларды
[26.06.2025, 21:25:08] Акнур: Знаю
[26.06.2025, 21:25:16] Акнур: Баска керек заттарды
[26.06.2025, 21:25:17] Акнур: Забываю
[30.06.2025, 12:56:49] Акнур: Жан
[30.06.2025, 12:56:51] Акнур: Привет
[30.06.2025, 12:56:54] Акнур: Моля ты тут?
[30.06.2025, 12:57:20] Моля💂🏽: Дя тут
[30.06.2025, 12:57:23] Моля💂🏽: Как ты?
[30.06.2025, 12:57:32] Акнур: Жан у тебя выйдет 5тыс на каспий у меня зп упадет 5го июля только
[30.06.2025, 12:57:38] Моля💂🏽: Жан
[30.06.2025, 12:57:42] Акнур: Норм норм го ты как
[30.06.2025, 12:57:42] Моля💂🏽: Али зп туспед маган
[30.06.2025, 12:57:43] Моля💂🏽: 🤣🤣
[30.06.2025, 12:57:46] Акнур: Бляя ерболдан сурай алмай
[30.06.2025, 12:57:47] Акнур: Журм
[30.06.2025, 12:57:48] Моля💂🏽: Сама жду зп 🤣🤣
[30.06.2025, 12:57:49] Акнур: Сукааа
[30.06.2025, 12:57:52] Моля💂🏽: Жан
[30.06.2025, 12:57:54] Моля💂🏽: Как так
[30.06.2025, 12:57:59] Моля💂🏽: Ты ж всегда это могла
[30.06.2025, 12:58:01] Акнур: Жан бля бул алдында
[30.06.2025, 12:58:04] Акнур: Маган
[30.06.2025, 12:58:05] Моля💂🏽: Я впрвык такое от тебя слышу
[30.06.2025, 12:58:06] Акнур: Айтты го
[30.06.2025, 12:58:09] Акнур: Ща покажу скрин
[30.06.2025, 12:58:17] Моля💂🏽: Не деп 🤣
‎[30.06.2025, 12:58:40] Акнур: ‎image omitted
‎[30.06.2025, 12:58:41] Акнур: ‎image omitted
‎[30.06.2025, 12:58:41] Акнур: ‎image omitted
[30.06.2025, 12:59:33] Моля💂🏽: Ебать
[30.06.2025, 12:59:34] Моля💂🏽: Сука
[30.06.2025, 12:59:35] Моля💂🏽: Пздц
[30.06.2025, 12:59:39] Моля💂🏽: Не очкуй десей
[30.06.2025, 12:59:43] Моля💂🏽: Не мы все такие деп
[30.06.2025, 13:00:14] Акнур: Во во
[30.06.2025, 13:00:30] Акнур: Осындай ангиме басында айтканнан
[30.06.2025, 13:00:31] Акнур: Кейн
[30.06.2025, 13:00:33] Акнур: Даже не охота
[30.06.2025, 13:00:34] Акнур: Было
[30.06.2025, 13:00:36] Акнур: Просить Юля
[30.06.2025, 13:00:37] Акнур: Бля
[30.06.2025, 13:00:44] Моля💂🏽: Ты что что когда ты любишь ты не когда не юзала
[30.06.2025, 13:00:51] Акнур: Мы псевдоэскортницы и еще не эскортница есть к чему стремиться
[30.06.2025, 13:00:52] Акнур: Деп па
[30.06.2025, 13:00:53] Моля💂🏽: Он пздц бастамай жатыр че очкует
[30.06.2025, 13:00:59] Моля💂🏽: Блять он 3 лямк
[30.06.2025, 13:01:04] Моля💂🏽: Примерно зарабатывает
[30.06.2025, 13:01:05] Моля💂🏽: Ку ма
[30.06.2025, 13:01:09] Акнур: Куады
[30.06.2025, 13:01:22] Моля💂🏽: Бля мен али ещкимген сура алмайм вхахах
[30.06.2025, 13:01:25] Моля💂🏽: Я блять гордая
[30.06.2025, 13:01:29] Моля💂🏽: Работающая дура
[30.06.2025, 13:01:30] Моля💂🏽: Хахахапх
[30.06.2025, 13:01:35] Акнур: Откуда у тебя бабки ты просишь у родаков и зачем просить
[30.06.2025, 13:01:35] Акнур: У дулата
[30.06.2025, 13:01:35] Акнур: Как ты юзала Болата
[30.06.2025, 13:01:35] Акнур: Говорит
[30.06.2025, 13:01:35] Акнур: А он зарабатывал нечестным путем
[30.06.2025, 13:01:35] Акнур: А ты к нему домойтприезжала деп
[30.06.2025, 13:01:35] Акнур: Свои тараканы у него в голове
[30.06.2025, 13:01:35] Акнур: Хватает
[30.06.2025, 13:01:35] Акнур: Скорпион го
[30.06.2025, 13:01:35] Акнур: Доухя думает
[30.06.2025, 13:01:35] Акнур: Мен бир преступление истегендей
[30.06.2025, 13:01:35] Акнур: Тергеп
[30.06.2025, 13:01:35] Акнур: Но его тоже можно понять он думает получится ли с ней встречаться ты согласна? Если я скажу что я не смогу сейчас в Европу
[30.06.2025, 13:01:35] Акнур: Я говорю блеааа
[30.06.2025, 13:01:35] Акнур: Жаксы пох европага катып калган Европа жок ко
[30.06.2025, 13:01:35] Акнур: Ну не могу позволить
[30.06.2025, 13:01:35] Акнур: Европу
[30.06.2025, 13:01:35] Акнур: Дейды
[30.06.2025, 13:01:36] Моля💂🏽: Блять, но Жан
[30.06.2025, 13:01:49] Моля💂🏽: Ты всегда не можешь ж теперь не просить у него
[30.06.2025, 13:01:54] Моля💂🏽: Думаю как то надо начать
[30.06.2025, 13:01:58] Акнур: Я вот хз
[30.06.2025, 13:01:58] Моля💂🏽: Чтоб он понимал
[30.06.2025, 13:02:01] Акнур: Какой подход
[30.06.2025, 13:02:02] Акнур: Теперь
[30.06.2025, 13:02:06] Акнур: Он вчера стукнулся
[30.06.2025, 13:02:09] Акнур: Баска машинаменн
[30.06.2025, 13:02:12] Акнур: И такой говорит сукаааа
[30.06.2025, 13:02:15] Моля💂🏽: Бляяя сукааааааа
[30.06.2025, 13:02:16] Акнур: Надо оплатить
[30.06.2025, 13:02:26] Акнур: И еще говорит срочно надо найти вторую работу
[30.06.2025, 13:02:27] Акнур: Так не пойдет
[30.06.2025, 13:02:28] Акнур: Говорит
[30.06.2025, 13:02:30] Акнур: Он сам себе
[30.06.2025, 13:02:33] Акнур: Я просто промолчала
[30.06.2025, 13:02:33] Моля💂🏽: Блять
[30.06.2025, 13:02:35] Акнур: Не дейм
[30.06.2025, 13:02:37] Моля💂🏽: Ты че такойтне уверенный
[30.06.2025, 13:02:38] Моля💂🏽: Сука
[30.06.2025, 13:02:40] Моля💂🏽: Закбал
[30.06.2025, 13:02:41] Моля💂🏽: Десей
[30.06.2025, 13:02:44] Моля💂🏽: Гондон
[30.06.2025, 13:02:53] Акнур: Но бля я его люблю
[30.06.2025, 13:02:54] Акнур: 😆😆😆😆😆😆😆
[30.06.2025, 13:02:56] Акнур: Ой блеаааа
[30.06.2025, 13:02:58] Моля💂🏽: Блять
[30.06.2025, 13:03:02] Моля💂🏽: Че за жопа
[30.06.2025, 13:03:07] Моля💂🏽: Он блять как рыбы
[30.06.2025, 13:03:14] Акнур: бро скорпион прикол
[30.06.2025, 13:03:26] Акнур: Может я наивный все еще что  с тобой встречаюсь
[30.06.2025, 13:03:27] Акнур: Дейды
[30.06.2025, 13:03:29] Акнур: Банана
[30.06.2025, 13:03:32] Акнур: Багана
[30.06.2025, 13:03:36] Акнур: Мен бир алдап кете дней
[30.06.2025, 13:03:39] Акнур: Кететндей*
[30.06.2025, 13:03:42] Моля💂🏽: Это я найвная
[30.06.2025, 13:03:44] Моля💂🏽: Которая
[30.06.2025, 13:03:49] Моля💂🏽: Верит в тебя десей
[30.06.2025, 13:03:58] Моля💂🏽: И ты тот которога люблю
[30.06.2025, 13:03:59] Акнур: Скорпион го специально такие слова говорит ишнде барин ойлап отыр
[30.06.2025, 13:04:00] Акнур: Ол
[30.06.2025, 13:04:04] Моля💂🏽: Блять с другими я сука десей
[30.06.2025, 13:04:49] Моля💂🏽: Жан( как тотнадо начать все равно
[30.06.2025, 13:04:56] Моля💂🏽: Как долго сурамай журе ин
[30.06.2025, 13:04:58] Моля💂🏽: Но сейчас кня
[30.06.2025, 13:05:01] Моля💂🏽: Машина и тд
[30.06.2025, 13:05:04] Моля💂🏽: Понимаю
[30.06.2025, 13:05:09] Акнур: и хату же купит
[30.06.2025, 13:05:10] Акнур: Трешку
[30.06.2025, 13:05:12] Моля💂🏽: Не в тот угол разговор пойдет
[30.06.2025, 13:05:15] Акнур: Жози уйынын касында
[30.06.2025, 13:05:18] Акнур: И ремонт там делает
[30.06.2025, 13:05:21] Акнур: Я как поняла туда уходят
[30.06.2025, 13:05:22] Акнур: Все бабки
[30.06.2025, 13:05:22] Моля💂🏽: Ооо млдс
[30.06.2025, 13:05:38] Акнур: Маме букет а девушке одну розу деп турмаса болды ертен
[30.06.2025, 13:05:38] Моля💂🏽: Акылы бар не на гулянку а на хату ужк хорошо
