[21.01.2025, 17:59:45] Алуа Боевик❤️: Нет
[25.01.2025, 20:39:29] Жазира❤️😍🤰: 😂
[25.01.2025, 20:39:31] Алуа Боевик❤️: Ладно
‎[25.01.2025, 20:39:54] Алуа Боевик❤️: ‎audio omitted
‎[25.01.2025, 20:40:06] Алуа Боевик❤️: ‎audio omitted
[25.01.2025, 20:40:36] Алуа Боевик❤️: Зимние мои я взяла года 3 назад 
До сих пор ношу и даже не покупаю вторую пару
[25.01.2025, 20:40:41] Алуа Боевик❤️: Мне норм в одних ходить
[25.01.2025, 20:40:45] Алуа Боевик❤️: Всю зиму 😂
[25.01.2025, 20:45:56] Жазира❤️😍🤰: У меня на каблуках
[25.01.2025, 20:53:35] Еркебулан: ‎Айман added Еркебулан. Tap to change who can add other members.
[25.01.2025, 20:53:43] Айман: Ну давай кидай свои предложения
[25.01.2025, 20:54:18] Еркебулан: Я не такая)
[25.01.2025, 20:54:25] Еркебулан: Чето знакомая группа)
[25.01.2025, 20:54:52] Айман: 😆😆😆
[25.01.2025, 20:57:00] Жазира❤️😍🤰: Кто это
[25.01.2025, 20:58:55] Еркебулан: Можем Куда нибудь присесть
[25.01.2025, 20:59:02] Еркебулан: Где не шумно
[25.01.2025, 20:59:06] Еркебулан: Желательно
[25.01.2025, 21:01:00] Алуа Боевик❤️: Это кто
[25.01.2025, 21:01:31] Айман: Чел который нас звал в Тайланд
[25.01.2025, 21:01:33] Айман: 😂
[25.01.2025, 21:01:34] Айман: Вот так
[25.01.2025, 21:02:11] Алуа Боевик❤️: Был
[25.01.2025, 21:02:13] Алуа Боевик❤️: Бля
[25.01.2025, 21:02:16] Алуа Боевик❤️: Удалите его пожалуйста
[25.01.2025, 21:02:16] Акнур: Если гора не идет к Магомету
[25.01.2025, 21:02:21] Алуа Боевик❤️: Что он тут делает
[25.01.2025, 21:02:24] Айман: 😆😂😂😂😂😂
[25.01.2025, 21:02:26] Айман: Лан
[25.01.2025, 21:02:26] Акнур: Магомет приехал в Астану
[25.01.2025, 21:02:34] Еркебулан: ‎Айман removed Еркебулан
[25.01.2025, 21:02:42] Айман: Он зовет нас посидеть
[25.01.2025, 21:02:45] Асем ❤️🤗: Да здесь Айым же есть 
Ей не удобно будет
[25.01.2025, 21:02:47] Айман: Хотите?
[25.01.2025, 21:02:51] Акнур: Вообще конакжай адам емеспиз🤣
[25.01.2025, 21:03:01] Айман: Взахахазааза
[25.01.2025, 21:03:01] Жазира❤️😍🤰: Сама договорись
[25.01.2025, 21:03:02] Акнур: Адам каблдамаймыз
‎[25.01.2025, 21:03:05] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:03:12] Айман: Я на минуту только его предложения
[25.01.2025, 21:03:17] Жазира❤️😍🤰: Никто не хочет
[25.01.2025, 21:03:17] Айман: Чтобы потом не говорили
[25.01.2025, 21:03:19] Жазира❤️😍🤰: 🤣
[25.01.2025, 21:03:20] Айман: Ой туда не пойдет
[25.01.2025, 21:03:21] Айман: И тд
[25.01.2025, 21:03:23] Айман: Деп
[25.01.2025, 21:03:32] Жазира❤️😍🤰: Будда бар
[25.01.2025, 21:03:34] Жазира❤️😍🤰: Скажи
[25.01.2025, 21:03:41] Алуа Боевик❤️: Сегодня?
[25.01.2025, 21:03:48] Айман: Да
[25.01.2025, 21:03:52] Айман: Он готов башлять
[25.01.2025, 21:03:54] Айман: 😂
‎[25.01.2025, 21:03:55] Алуа Боевик❤️: ‎audio omitted
[25.01.2025, 21:03:58] Айман: Че вы сразу
[25.01.2025, 21:04:08] Айман: Сегодня да
‎[25.01.2025, 21:05:03] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:05:24] Алуа Боевик❤️: Конечно
[25.01.2025, 21:05:28] Алуа Боевик❤️: Надо сходить
[25.01.2025, 21:05:44] Жазира❤️😍🤰: Я не могу
[25.01.2025, 21:05:48] Алуа Боевик❤️: Если платят
[25.01.2025, 21:05:49] Айман: Пиздец вы конечно реагируете
[25.01.2025, 21:05:49] Алуа Боевик❤️: Я могу
[25.01.2025, 21:05:55] Айман: Человек себя неловко почувствовал
[25.01.2025, 21:05:58] Жазира❤️😍🤰: Ты предупреждай
[25.01.2025, 21:06:01] Айман: Пришлось извиниться
[25.01.2025, 21:06:01] Алуа Боевик❤️: 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
[25.01.2025, 21:06:01] Жазира❤️😍🤰: Хотя бы
[25.01.2025, 21:06:05] Акнур: Сен нежданчик кылып коспасайш группага
‎[25.01.2025, 21:06:15] Алуа Боевик❤️: ‎audio omitted
[25.01.2025, 21:06:16] Акнур: Тут люди серьезные сидят
[25.01.2025, 21:06:27] Алуа Боевик❤️: Нельзя добавлять никого
[25.01.2025, 21:06:31] Алуа Боевик❤️: Можно создавать другие
[25.01.2025, 21:06:45] Акнур: За что
[25.01.2025, 21:07:09] Айман: За это😆
[25.01.2025, 21:07:13] Айман: Это
[25.01.2025, 21:07:15] Айман: 😆
[25.01.2025, 21:07:20] Айман: Это
[25.01.2025, 21:07:22] Айман: 😆
[25.01.2025, 21:07:25] Акнур: Наша группа наши правила
‎[25.01.2025, 21:07:32] Алуа Боевик❤️: ‎audio omitted
‎[25.01.2025, 21:07:33] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:07:34] Акнур: Киргесе амандаспай ма
[25.01.2025, 21:07:34] Акнур: Ол
[25.01.2025, 21:07:37] Акнур: Киргеснннн
[25.01.2025, 21:07:46] Акнур: Мынау не
[25.01.2025, 21:08:06] Айман: Я сюда добавила его чтобы сразу обговорить куда пойдем. А вы сразу бля😂😆 пздц
‎[25.01.2025, 21:08:13] Акнур: ‎sticker omitted
[25.01.2025, 21:08:23] Айман: Не хотела вот это организовывать сама
[25.01.2025, 21:08:31] Айман: Ему похер куда
[25.01.2025, 21:08:33] Айман: Он хотел спросить
[25.01.2025, 21:08:37] Айман: Куда пойдем деп
[25.01.2025, 21:08:38] Айман: 😆😂
[25.01.2025, 21:08:42] Айман: Напугали мужика
[25.01.2025, 21:08:44] Айман: 😂😂😂😂
[25.01.2025, 21:08:45] Айман: Ахахахахахаха
[25.01.2025, 21:08:47] Айман: Ржу
[25.01.2025, 21:09:12] Айман: Ким ШЫГАДЫ
[25.01.2025, 21:09:15] Айман: АЙТЫНДАРШ
‎[25.01.2025, 21:09:38] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:12:21] Алуа Боевик❤️: Будда
[25.01.2025, 21:12:25] Алуа Боевик❤️: Я
‎[25.01.2025, 21:15:31] Айман: ‎image omitted
‎[25.01.2025, 21:15:48] Айман: ‎image omitted
[25.01.2025, 21:16:04] Айман: Че думаете
[25.01.2025, 21:16:38] Айман: Бюджет 100 к
[25.01.2025, 21:16:39] Айман: 😂
[25.01.2025, 21:16:43] Айман: Куда?
[25.01.2025, 21:17:20] Асем ❤️🤗: Давайте просто где нибудь посидеть
[25.01.2025, 21:17:29] Асем ❤️🤗: Не шумная место
[25.01.2025, 21:17:46] Айман: Кайда
[25.01.2025, 21:18:17] Асем ❤️🤗: Сен сурап алдынба 
Бюджет канша деп 🤭
[25.01.2025, 21:18:28] Айман: Ози айтты 😂
[25.01.2025, 21:18:36] Айман: Сказала же за всех платишь 😆😆😆😆😆😆
[25.01.2025, 21:18:37] Айман: Ахахахахха
[25.01.2025, 21:18:47] Асем ❤️🤗: 🤣🤣
[25.01.2025, 21:18:57] Акнур: 100к 4 адамга мало тем более буддада
[25.01.2025, 21:19:05] Айман: Будда ноу
[25.01.2025, 21:19:11] Айман: Вчера он потратился
[25.01.2025, 21:19:13] Айман: Дохера
[25.01.2025, 21:19:21] Акнур: а че сол кезде жазбайды
[25.01.2025, 21:19:22] Акнур: 🤣🤣🤣
[25.01.2025, 21:19:29] Акнур: Екиншы кун вспоминает
[25.01.2025, 21:19:38] Акнур: 😆😆😆😆
‎[25.01.2025, 21:19:37] Айман: ‎image omitted
‎[25.01.2025, 21:20:11] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:20:23] Айман: 😆😆😆
[25.01.2025, 21:20:24] Айман: Да
[25.01.2025, 21:20:43] Айман: Я сама так разговариваю
[25.01.2025, 21:22:11] Айман: Че там
[25.01.2025, 21:22:13] Айман: Енды ‎<This message was edited>
[25.01.2025, 21:22:14] Айман: ????
[25.01.2025, 21:22:20] Айман: Че решили
[25.01.2025, 21:22:50] Айман: ?
[25.01.2025, 21:23:54] Асем ❤️🤗: Во сколько?
[25.01.2025, 21:24:28] Айман: Айтсандарш
[25.01.2025, 21:24:28] Айман: Кайда
‎[25.01.2025, 21:26:48] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:27:56] Алуа Боевик❤️: Блеять
[25.01.2025, 21:27:57] Алуа Боевик❤️: Будда
[25.01.2025, 21:28:02] Алуа Боевик❤️: Я же сказала 4 раза
[25.01.2025, 21:28:13] Алуа Боевик❤️: Почему не смотрите 😭😭😭😭😭😭
‎[25.01.2025, 21:28:34] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:28:37] Алуа Боевик❤️: Buddha-Bar Astana
https://2gis.kz/astana/geo/70000001074183200
[25.01.2025, 21:28:49] Алуа Боевик❤️: Ладно
[25.01.2025, 21:28:52] Алуа Боевик❤️: Тогда не знаю
[25.01.2025, 21:28:55] Алуа Боевик❤️: Мята?
[25.01.2025, 21:29:04] Алуа Боевик❤️: Там все есть и еда и креветки
[25.01.2025, 21:29:06] Алуа Боевик❤️: 😂
[25.01.2025, 21:29:07] Асем ❤️🤗: Да в мяту можно
‎[25.01.2025, 21:29:55] Асем ❤️🤗: ‎sticker omitted
[25.01.2025, 21:30:05] Айман: Ты че не смотришь бро
[25.01.2025, 21:30:09] Айман: 😆😆😆😆
[25.01.2025, 21:30:15] Айман: Переписку
[25.01.2025, 21:30:17] Айман: Окымайсын
[25.01.2025, 21:30:19] Айман: 😂
[25.01.2025, 21:30:32] Айман: Ахаххаха
‎[25.01.2025, 21:30:39] Алуа Боевик❤️: ‎audio omitted
[25.01.2025, 21:30:56] Айман: Норм жер
[25.01.2025, 21:31:00] Айман: Караоке дейды гой
[25.01.2025, 21:31:04] Айман: Хотите попеть?
[25.01.2025, 21:32:55] Айман: Все мята окей
[25.01.2025, 21:32:58] Айман: Или караоке
[25.01.2025, 21:39:08] Алуа Боевик❤️: Да
[25.01.2025, 21:39:13] Алуа Боевик❤️: А там еда бар ма
[25.01.2025, 21:40:02] Айман: Жан он не местный
[25.01.2025, 21:40:04] Айман: 😂
‎[25.01.2025, 21:40:12] Асем ❤️🤗: ‎audio omitted
[25.01.2025, 21:41:17] Айман: 😆😆😆
[25.01.2025, 21:41:37] Айман: Их будет 3
[25.01.2025, 21:41:39] Айман: 😂
[25.01.2025, 21:42:29] Айман: Salieri
https://2gis.kz/astana/geo/70000001034415500
[25.01.2025, 21:42:36] Айман: Сюда
[25.01.2025, 21:43:05] Алуа Боевик❤️: 🤣
[25.01.2025, 21:43:12] Алуа Боевик❤️: Бля я че то устала за сегодня
[25.01.2025, 21:43:26] Алуа Боевик❤️: Хотя бы выспалась
‎[25.01.2025, 21:45:09] Алуа Боевик❤️: ‎audio omitted
[25.01.2025, 21:46:18] Айман: Мужик табу керек
[25.01.2025, 21:46:32] Айман: Ойшо 120?
[25.01.2025, 21:46:34] Айман: Вроде
[25.01.2025, 21:46:36] Айман: Сегодня видела
[25.01.2025, 21:46:37] Алуа Боевик❤️: Бля ч не хочу больше такой хуйней заниматься
[25.01.2025, 21:46:41] Алуа Боевик❤️: Надо зарабатывать
[25.01.2025, 21:46:46] Алуа Боевик❤️: Либо искать мужчину своего
[25.01.2025, 21:46:52] Алуа Боевик❤️: А не деньги тырить у мужиков
[25.01.2025, 21:47:00] Алуа Боевик❤️: Ничего хорошего 
Все вернется тебе
[25.01.2025, 21:47:11] Алуа Боевик❤️: Не ради бабок общаться имею ввиду
[25.01.2025, 21:47:24] Алуа Боевик❤️: Цель должна быть нормальная 
Встретить Любовь
[25.01.2025, 21:47:44] Алуа Боевик❤️: Я это делала и не разбогатела от этого, наоборот в минус ушла
[25.01.2025, 21:47:53] Алуа Боевик❤️: По состоянию своему внутреннему
[25.01.2025, 21:48:04] Айман: Ну ресурсов то больше отдаешь
[25.01.2025, 21:48:09] Алуа Боевик❤️: Да
[25.01.2025, 21:48:17] Акнур: Я одна посл время хочу ребенка
[25.01.2025, 21:48:17] Алуа Боевик❤️: Я на своей энергии больше могу сделать
[25.01.2025, 21:48:18] Акнур: ?
[25.01.2025, 21:48:26] Айман: 😂
[25.01.2025, 21:48:30] Акнур: Потом понимаю что нужен сначала брак
[25.01.2025, 21:48:33] Алуа Боевик❤️: Чем тратить энергию на получение от кого то бабки
[25.01.2025, 21:48:36] Алуа Боевик❤️: Хуйня это все
[25.01.2025, 21:48:48] Алуа Боевик❤️: Давно хочу
[25.01.2025, 21:48:57] Айман: Жан это нормально фертильный возраст
[25.01.2025, 21:49:02] Айман: У всех фертильный возраст
[25.01.2025, 21:49:11] Айман: Гормоны все хотят замуж детей
[25.01.2025, 21:49:13] Айман: Норма
[25.01.2025, 21:49:23] Айман: Надо знакомиться и общаться просто так
[25.01.2025, 21:49:24] Айман: Для начала
[25.01.2025, 21:49:31] Айман: Сосын табасындар
[25.01.2025, 21:49:37] Акнур: Охота с любовью и прям с заботой сделать ребенка
[25.01.2025, 21:49:42] Алуа Боевик❤️: Да
[25.01.2025, 21:49:50] Акнур: ну типа балансировано
[25.01.2025, 21:49:58] Алуа Боевик❤️: Намерение должно быть мужчину своего встретить достойного
[25.01.2025, 21:50:01] Айман: Не ждать ничего а просто знакомиться с целью найти своего
[25.01.2025, 21:50:07] Алуа Боевик❤️: А не деньги и потом мужчина
[25.01.2025, 21:50:19] Алуа Боевик❤️: Да
[25.01.2025, 21:50:28] Акнур: Ниет ниет
‎[25.01.2025, 21:50:29] Алуа Боевик❤️: ‎video omitted
[25.01.2025, 21:50:31] Акнур: Конил
[25.01.2025, 21:50:33] Алуа Боевик❤️: Смотрите
[25.01.2025, 21:50:39] Алуа Боевик❤️: Что за сладуся
[25.01.2025, 21:50:43] Алуа Боевик❤️: Я влюбилась в него
[25.01.2025, 21:50:56] Алуа Боевик❤️: Дален 😍
[25.01.2025, 21:51:02] Алуа Боевик❤️: Такой красивый
Господи
[25.01.2025, 21:51:08] Алуа Боевик❤️: Люди выбирайте мужчин красивых
[25.01.2025, 21:51:10] Алуа Боевик❤️: Это обязательно
[25.01.2025, 21:51:11] Акнур: И у тебя тоже такой Бопе появится
[25.01.2025, 21:51:16] Алуа Боевик❤️: Прям обязательно
[25.01.2025, 21:51:17] Акнур: ++++
[25.01.2025, 21:51:23] Алуа Боевик❤️: Это очень важно
[25.01.2025, 21:51:28] Алуа Боевик❤️: Оказывается
[25.01.2025, 21:51:37] Алуа Боевик❤️: Не просто ‘симпатичный’
[25.01.2025, 21:51:59] Айман: Ладно бля
[25.01.2025, 21:52:02] Айман: Вы тему сменили
[25.01.2025, 21:52:08] Айман: Сегодня идем на вечер или нет?
[25.01.2025, 21:52:17] Айман: Караоке забронили
[25.01.2025, 21:52:21] Айман: К 11 да?
[25.01.2025, 21:52:32] Асем ❤️🤗: Да
[25.01.2025, 21:52:54] Алуа Боевик❤️: Да жан🤣
[25.01.2025, 21:52:57] Алуа Боевик❤️: Не беспокойся
[25.01.2025, 21:53:06] Алуа Боевик❤️: Бля я чуть опаздываю
[25.01.2025, 21:53:13] Айман: Шыгындар
[25.01.2025, 21:53:24] Айман: Salieri
https://2gis.kz/astana/geo/70000001034415500
‎[25.01.2025, 21:53:30] Алуа Боевик❤️: ‎audio omitted
[25.01.2025, 21:53:39] Алуа Боевик❤️: Пиздец назывное тяжкое
[25.01.2025, 21:53:41] Алуа Боевик❤️: 😂
[25.01.2025, 21:53:49] Айман: Нихуевое караоке
