[16.01.2025, 16:57:08] Алибек: ‎Your security code with Алибек changed.
‎[12.05.2025, 20:12:01] Акнур: ‎<attached: -0000769-PHOTO-2025-05-12-20-12-01.jpg>
[12.05.2025, 20:12:04] Акнур: Вот так норм?
[12.05.2025, 20:12:11] Акнур: Никто не будет взламывать м
[12.05.2025, 20:12:12] Акнур: ?
[12.05.2025, 20:12:26] Акнур: У меня давно так стоит
[12.05.2025, 20:12:28] Акнур: Оказывается
[12.05.2025, 20:12:54] Алибек: Вживую покажу
[12.05.2025, 20:13:24] Алибек: А так норм
[13.05.2025, 00:16:34] Акнур: Срочно
[13.05.2025, 00:16:37] Акнур: Нура пусть зайдет
[13.05.2025, 00:16:38] Акнур: Васи
[13.05.2025, 00:16:40] Акнур: Ватссс
‎[14.05.2025, 11:37:19] Акнур: ‎video omitted
[17.05.2025, 01:57:25] Акнур: ‎Voice call  ‎2 min
[17.05.2025, 19:04:00] Алибек: ‎Video call  ‎1 min
[17.05.2025, 21:13:34] Акнур: Еду
[17.05.2025, 21:13:35] Акнур: Домой
[17.05.2025, 21:21:21] Акнур: ‎Video call  ‎25 sec
[17.05.2025, 22:21:34] Алибек: Могу рюкзак стрельнуть?)
[17.05.2025, 22:21:45] Акнур: Рюкзак нужен?
[17.05.2025, 22:21:55] Акнур: Да конечно
[17.05.2025, 22:22:00] Алибек: Да, Нурин найти не смог
[17.05.2025, 22:22:03] Акнур: Только все вещи вытаскивай
[17.05.2025, 22:22:04] Акнур: 🤣🤣🤣🤣🤣
[17.05.2025, 22:22:10] Алибек: Да конечно😂
[17.05.2025, 22:22:19] Акнур: Ты утром в 8 будешь дома?
[17.05.2025, 22:22:27] Алибек: Да конечно)
[17.05.2025, 22:22:34] Акнур: Все тогда норм
[17.05.2025, 22:22:39] Алибек: 😂😂😂
[18.05.2025, 03:43:52] Алибек: Акнур
[18.05.2025, 03:43:54] Алибек: Ты где?
[18.05.2025, 03:43:58] Акнур: Ау
[18.05.2025, 03:44:10] Алибек: Дома или не дома?
[18.05.2025, 03:44:14] Акнур: Еще не дома
[18.05.2025, 03:45:14] Акнур: Мы в караоке
[18.05.2025, 04:15:19] Акнур: Ты когда домой
[18.05.2025, 04:15:40] Алибек: У дома вот
[18.05.2025, 04:15:41] Алибек: Уже
[18.05.2025, 04:15:43] Алибек: А шо?
[18.05.2025, 04:15:53] Акнур: Я тоже должна скоро домой
[18.05.2025, 04:15:55] Акнур: Должна
[18.05.2025, 04:16:02] Акнур: а приду когда вот хз
[18.05.2025, 04:16:03] Акнур: Депп
[18.05.2025, 04:16:04] Акнур: Деппа
[18.05.2025, 04:16:06] Акнур: Дееее
[18.05.2025, 04:16:27] Акнур: Шучу в течение часа надо домой
[18.05.2025, 04:16:29] Акнур: Точно
[18.05.2025, 04:16:33] Алибек: 😂😂😂
[18.05.2025, 04:16:40] Акнур: Ербол гуляет с Алуа
[18.05.2025, 04:16:47] Акнур: Я вот теперь начинаю думать
[18.05.2025, 04:16:48] Алибек: Нихера се
[18.05.2025, 04:16:48] Акнур: Хмммм
[18.05.2025, 04:16:50] Акнур: Проверь
[18.05.2025, 04:16:52] Акнур: Тугис
[18.05.2025, 04:16:53] Акнур: Где он
[18.05.2025, 04:16:54] Алибек: Ванганул
[18.05.2025, 04:17:13] Акнур: вроде там компашка была
‎[18.05.2025, 04:17:16] Алибек: ‎<attached: -0000712-PHOTO-2025-05-18-04-17-16.jpg>
[18.05.2025, 04:17:37] Акнур: Что за самал
[18.05.2025, 04:17:41] Алибек: Че там?)
‎[18.05.2025, 04:17:56] Алибек: ‎<attached: -0000709-PHOTO-2025-05-18-04-17-56.jpg>
‎[18.05.2025, 04:17:57] Алибек: ‎<attached: -0000708-PHOTO-2025-05-18-04-17-57.jpg>
[18.05.2025, 04:18:12] Акнур: Ну это понятно
[18.05.2025, 04:18:17] Акнур: Самал конкретно
[18.05.2025, 04:18:18] Акнур: Хз
[18.05.2025, 04:18:30] Акнур: Короче следи за ним
[18.05.2025, 04:18:33] Акнур: Плз
[18.05.2025, 04:18:43] Акнур: Посмотрим
[18.05.2025, 04:18:46] Акнур: Куда он пойдет
[18.05.2025, 04:18:47] Акнур: 🤣🤣🤣🤣
‎[18.05.2025, 04:19:08] Акнур: ‎sticker omitted
[18.05.2025, 04:50:55] Акнур: Он там же?
[18.05.2025, 04:51:03] Алибек: Да
[18.05.2025, 04:51:16] Алибек: Час
[18.05.2025, 04:51:21] Акнур: Ляяя
[18.05.2025, 04:51:22] Акнур: Ладно
[18.05.2025, 04:51:23] Акнур: 🤣🤣🤣🤣
[18.05.2025, 09:08:29] Акнур: Все ок?
[18.05.2025, 09:08:40] Акнур: Бляяя я в такси когда ехала
[18.05.2025, 09:08:42] Акнур: В моменте
[18.05.2025, 09:08:45] Акнур: Уснула и забыла
[18.05.2025, 09:08:49] Акнур: Где я нахожусь
[18.05.2025, 09:08:52] Акнур: В Астане или в Алмате
[18.05.2025, 09:48:59] Алибек: Пока в Ате
[18.05.2025, 09:49:04] Алибек: 😂😂😂
[18.05.2025, 13:22:37] Алибек: Маган ебать плохо
[18.05.2025, 13:22:41] Алибек: 😂😂😂
[18.05.2025, 13:22:48] Алибек: Ты как?
[18.05.2025, 16:08:12] Акнур: Только проснулась
[18.05.2025, 16:08:15] Акнур: Че калай
[18.05.2025, 16:08:16] Акнур: Голова
[18.05.2025, 17:43:06] Алибек: F
[18.05.2025, 20:24:25] Акнур: Все ок?
[18.05.2025, 20:24:35] Алибек: Да все Гуд по сути
[18.05.2025, 20:24:39] Акнур: Бляяя ты б видел мой фэйс
[18.05.2025, 20:24:41] Акнур: С утра
[18.05.2025, 20:24:44] Алибек: Договорились обсудить все это потом
[18.05.2025, 20:24:45] Акнур: Когда я прилетела
[18.05.2025, 20:24:51] Алибек: 😂😂😂
[18.05.2025, 20:25:03] Алибек: А пока главное восстановление
[18.05.2025, 20:25:06] Акнур: Сука только 20:00 а столько всего произошло
[18.05.2025, 20:25:10] Акнур: За этот день
[18.05.2025, 20:25:13] Акнур: Столько движение
[18.05.2025, 20:25:15] Алибек: А че там?
[18.05.2025, 20:25:17] Акнур: в ахуе
‎[18.05.2025, 20:25:36] Акнур: ‎<attached: -0000664-AUDIO-2025-05-18-20-25-36.opus>
‎[18.05.2025, 20:25:46] Акнур: ‎<attached: -0000663-AUDIO-2025-05-18-20-25-46.opus>
[18.05.2025, 20:25:56] Алибек: 😂😂😂
[18.05.2025, 20:25:57] Акнур: Поспала еще
[18.05.2025, 20:25:57] Алибек: Кайф
[18.05.2025, 20:26:00] Акнур: 4 часа
[18.05.2025, 20:26:10] Акнур: Бля пиздец жизнь сериал
[18.05.2025, 20:26:23] Алибек: Как у тебя похмелья нет
[18.05.2025, 20:26:26] Алибек: Я в Ахун
[18.05.2025, 20:27:52] Акнур: И аппетита особо нету
[18.05.2025, 20:28:00] Алибек: ++++++
[18.05.2025, 20:28:05] Алибек: Жирный
[19.05.2025, 00:54:06] Акнур: Бля
[19.05.2025, 00:54:07] Акнур: Ты тут?
[19.05.2025, 00:54:09] Акнур: Я тебе за
[19.05.2025, 00:54:11] Акнур: Ща
[19.05.2025, 00:54:13] Акнур: Кое что скажу
[19.05.2025, 00:54:17] Акнур: И не подумай
[19.05.2025, 00:54:20] Акнур: Не вздумай
[19.05.2025, 00:54:23] Акнур: Его ща
[19.05.2025, 00:54:27] Акнур: Мне его отправлять
[19.05.2025, 00:54:30] Акнур: Отправлять
[19.05.2025, 00:54:35] Акнур: Оправдать
[19.05.2025, 00:54:37] Акнур: *т
[19.05.2025, 00:54:39] Акнур: Точнее
[19.05.2025, 00:54:55] Акнур: Магу
[19.05.2025, 00:54:57] Акнур: Далбоеп
[19.05.2025, 00:55:02] Акнур: Так и надо ему
[19.05.2025, 00:55:04] Акнур: Ибо нехуй
[19.05.2025, 00:55:22] Акнур: Я попросила пораньше 3 часа назад купить мне прокладку
[19.05.2025, 00:55:33] Акнур: Так как у месячные
[19.05.2025, 00:55:50] Акнур: А он сука попросил обезбол так как рядом с домом нету
[19.05.2025, 00:55:52] Акнур: Аптека
[19.05.2025, 00:55:57] Акнур: И что ты ска думаешь
[19.05.2025, 00:57:11] Акнур: Он мне не взял прокладку
[19.05.2025, 00:57:16] Акнур: Я ж мужик кавказец
[19.05.2025, 00:57:20] Акнур: Блеять
[19.05.2025, 00:57:21] Акнур: Говорит
[19.05.2025, 00:57:23] Акнур: Я сказала ну ок
[19.05.2025, 00:57:25] Акнур: И ушла
[19.05.2025, 00:57:32] Акнур: Нахуй я к нему домой пришла
[19.05.2025, 00:58:31] Акнур: Еще и сука врач бывший
[19.05.2025, 00:58:32] Акнур: Называется
[19.05.2025, 00:58:35] Акнур: Ага конечно
[19.05.2025, 01:01:38] Акнур: Пошел он нахуй
[19.05.2025, 01:02:11] Акнур: Еще попросила же пораньше и он мне говорит ну я ж написал тебе нет я ж мужик кавказец
[19.05.2025, 01:02:13] Акнур: Да пошел он нахуц
[19.05.2025, 01:02:16] Акнур: Со своими принципами
[19.05.2025, 01:02:18] Акнур: Такими
[19.05.2025, 01:04:11] Акнур: Я заплакала аж и сейчас до сих пор плачу
[19.05.2025, 01:04:20] Акнур: Ладно еду домой к себе
[19.05.2025, 01:04:25] Акнур: Но я считаю что это не ок
[19.05.2025, 01:04:34] Акнур: Когда он просит я ищу аптеку где байтерек
[19.05.2025, 01:04:42] Акнур: Купить ему обезбол
[19.05.2025, 01:04:46] Акнур: Когда он сука просто
[19.05.2025, 01:04:50] Акнур: Просил
[19.05.2025, 01:04:53] Акнур: А когда я просила
[19.05.2025, 01:04:57] Акнур: Он такой я мужик кавказец
[19.05.2025, 01:04:59] Акнур: Пошел нахуй
[19.05.2025, 07:01:50] Алибек: Ебать
[19.05.2025, 07:02:05] Алибек: Странный движ
[19.05.2025, 07:02:08] Алибек: Неожиданный
[19.05.2025, 07:31:16] Алибек: Че там
[19.05.2025, 07:31:20] Алибек: Ты как?
[19.05.2025, 08:00:32] Акнур: Да пиздец
[19.05.2025, 08:00:36] Акнур: Еду на работу
[19.05.2025, 08:00:44] Акнур: Вот такой пиздец был
[19.05.2025, 08:00:45] Акнур: Вчера
[19.05.2025, 08:00:52] Алибек: Вы че посрались в итоге?
[19.05.2025, 08:01:02] Акнур: На я ушла типа в магаз
[19.05.2025, 08:01:05] Акнур: За прокладкой
[19.05.2025, 08:01:06] Акнур: И уехала домой
[19.05.2025, 08:01:10] Акнур: Он даже не написал
[19.05.2025, 08:01:12] Акнур: Не искал
[19.05.2025, 08:02:25] Алибек: Странно
[19.05.2025, 08:02:49] Акнур: Ну стрем
[19.05.2025, 08:05:41] Алибек: Согласен странно
[22.05.2025, 07:40:33] Акнур: Вы встретились
[22.05.2025, 07:40:35] Акнур: Кстати
[22.05.2025, 07:40:51] Акнур: ?
[22.05.2025, 10:53:23] Алибек: Жок(
[22.05.2025, 10:53:28] Алибек: Я работал до 4 утра
[05.06.2025, 18:32:34] Акнур: Алиба
[05.06.2025, 18:32:39] Акнур: Когда упадет
[05.06.2025, 18:32:40] Акнур: Зп
[05.06.2025, 18:32:47] Акнур: Ждём ербола
[05.06.2025, 18:32:48] Акнур: За
[05.06.2025, 18:32:49] Акнур: Зп
[05.06.2025, 18:32:52] Акнур: Чтоб погулять
[05.06.2025, 18:32:53] Акнур: 😂😂😂😂
[05.06.2025, 18:33:00] Акнур: Он вчера сказал жду зп
[05.06.2025, 18:54:16] Алибек: Вхаххаха
[05.06.2025, 18:54:24] Алибек: Уже упала
[05.06.2025, 18:54:32] Алибек: А кто мы?
[05.06.2025, 18:55:06] Акнур: Всмычле
[05.06.2025, 18:55:07] Акнур: Ураааа
[05.06.2025, 18:55:09] Акнур: 😂😂🤣
[05.06.2025, 18:55:16] Акнур: Я и Ербол
[05.06.2025, 18:55:17] Акнур: 🤣🤣🤣
[05.06.2025, 18:55:21] Алибек: Ааа
[05.06.2025, 18:55:26] Алибек: Ну упали крч
[05.06.2025, 18:55:29] Алибек: Ещё час назад
[05.06.2025, 18:55:32] Алибек: Или два
[05.06.2025, 18:57:57] Алибек: Вы с ним Жай тусить? Или ТУСИТЬ?
[05.06.2025, 18:58:05] Алибек: С продолжением?
‎[05.06.2025, 18:58:23] Акнур: ‎<attached: -0000559-AUDIO-2025-06-05-18-58-23.opus>
[05.06.2025, 18:58:28] Акнур: Конеш
[05.06.2025, 18:58:42] Алибек: Бляяяя
[05.06.2025, 18:58:50] Алибек: Ты уверена что это хорошее решение
[05.06.2025, 18:58:57] Алибек: Я тебе отвечаю вскроется же
[05.06.2025, 18:59:14] Акнур: А мага мне не говорит в целом
[05.06.2025, 18:59:19] Акнур: Кто мы что мы
[05.06.2025, 18:59:24] Акнур: Будто тоже просто общается
[05.06.2025, 18:59:28] Акнур: Как и Ербол
[05.06.2025, 18:59:32] Алибек: Мы если что с Нурой не в курсе об этом😂
[05.06.2025, 18:59:37] Алибек: Хммм
[05.06.2025, 18:59:41] Алибек: А ты спрашивала
[05.06.2025, 18:59:49] Алибек: Странно как-то с его стороны
‎[05.06.2025, 19:00:12] Акнур: ‎audio omitted
[05.06.2025, 19:00:39] Акнур: Молчанки
[05.06.2025, 19:00:45] Алибек: Если что-то вскроется то мы ни о чем не знаем😂
[05.06.2025, 19:00:49] Алибек: 😂😂😂
[05.06.2025, 19:00:55] Алибек: Сделаем удивленные голоса
[05.06.2025, 19:01:07] Алибек: Когда Мага скажет вот прикиньте что за ситуация
[05.06.2025, 19:01:15] Алибек: 😂😂😂
‎[05.06.2025, 19:01:30] Акнур: ‎<attached: -0000539-AUDIO-2025-06-05-19-01-30.opus>
‎[05.06.2025, 19:01:43] Акнур: ‎<attached: -0000538-AUDIO-2025-06-05-19-01-43.opus>
‎[05.06.2025, 19:01:50] Акнур: ‎<attached: -0000537-AUDIO-2025-06-05-19-01-50.opus>
[05.06.2025, 19:02:14] Акнур: Мне никто не говорит акнур мы встречаемся
‎[05.06.2025, 19:02:30] Акнур: ‎<attached: -0000535-AUDIO-2025-06-05-19-02-30.opus>
‎[05.06.2025, 19:02:44] Акнур: ‎<attached: -0000534-AUDIO-2025-06-05-19-02-44.opus>
[05.06.2025, 19:03:20] Акнур: А с хуя ли тогда я должна закрыться от всего 🤣
[05.06.2025, 19:03:26] Акнур: Сам подумай
[05.06.2025, 19:04:34] Алибек: 😂😂😂
[05.06.2025, 19:29:13] Алибек: Ну тогда да
[05.06.2025, 19:29:32] Алибек: Я просто думал у вас что-то серьезное и он говорил об этом
[05.06.2025, 19:29:45] Акнур: Что за привычка всем говорить
[05.06.2025, 19:29:46] Акнур: Но не мнк
[05.06.2025, 19:29:50] Акнур: Аахахха
[05.06.2025, 19:29:52] Акнур: Но не мне
[05.06.2025, 19:29:55] Алибек: 😂😂😂
[05.06.2025, 19:50:14] Акнур: ‎Video call  ‎No answer
[09.06.2025, 01:29:06] Акнур: Алиба
[09.06.2025, 01:29:09] Акнур: Ты тут?
[09.06.2025, 01:29:32] Алибек: Ау
[09.06.2025, 01:29:34] Алибек: Да тут
[09.06.2025, 01:29:36] Алибек: Че там?)
[09.06.2025, 01:29:38] Акнур: Нура где
[09.06.2025, 01:29:39] Алибек: Нура спит
[09.06.2025, 01:29:40] Акнур: Мы с ербол
[09.06.2025, 01:29:41] Акнур: Вчера
[09.06.2025, 01:29:44] Алибек: Ахахахах
[09.06.2025, 01:29:44] Акнур: Окончательно
[09.06.2025, 01:29:46] Акнур: Поругались
[09.06.2025, 01:29:50] Алибек: Типа
[09.06.2025, 01:29:52] Алибек: В смысле
[09.06.2025, 01:29:55] Алибек: Не болды?
[09.06.2025, 01:29:55] Акнур: в прямом
[09.06.2025, 01:30:02] Алибек: Он че натворил?
[09.06.2025, 01:30:29] Алибек: Акнур?
‎[09.06.2025, 01:30:30] Акнур: ‎<attached: -0000504-PHOTO-2025-06-09-01-30-30.jpg>
‎[09.06.2025, 01:30:31] Акнур: ‎<attached: -0000503-PHOTO-2025-06-09-01-30-31.jpg>
[09.06.2025, 01:31:06] Акнур: и я ушла домой
[09.06.2025, 01:31:08] Акнур: Короче
[09.06.2025, 01:31:18] Алибек: Ебать комедия
[09.06.2025, 01:31:20] Алибек: Ахаххахаха
[09.06.2025, 01:31:21] Акнур: да
[09.06.2025, 01:31:27] Акнур: Он мне сегодня не написал
[09.06.2025, 01:31:28] Акнур: И я тоже
[09.06.2025, 01:31:30] Акнур: Пошел он нахуй
[09.06.2025, 01:31:32] Акнур: Скорпион
[09.06.2025, 01:31:34] Акнур: Ска
[09.06.2025, 01:31:36] Акнур: Все помнит
[09.06.2025, 01:31:37] Акнур: Вспомнил
[09.06.2025, 01:31:45] Акнур: Как я ушла когда то на но
[09.06.2025, 01:31:46] Акнур: Нг
[09.06.2025, 01:31:52] Акнур: Решил мне отомстить
[09.06.2025, 01:31:55] Акнур: Спустя пол года
[09.06.2025, 01:31:58] Алибек: 😂😂😂
[09.06.2025, 01:32:03] Алибек: Ебать он хорошо помнит
[09.06.2025, 01:32:08] Акнур: Скорпион
[09.06.2025, 01:32:09] Акнур: Алиба
[09.06.2025, 01:32:10] Акнур: Запомни
[09.06.2025, 01:32:27] Акнур: А потом он пошел
[09.06.2025, 01:32:30] Акнур: В инпэй
[09.06.2025, 01:32:31] Акнур: С
[09.06.2025, 01:32:34] Акнур: Домой зашел
[09.06.2025, 01:32:35] Акнур: И вышел
[09.06.2025, 01:32:36] Акнур: Кажется
[09.06.2025, 01:32:40] Акнур: Посмотрела в тугисе
[09.06.2025, 01:32:41] Акнур: Тогда
[09.06.2025, 01:33:04] Алибек: Хммм
[09.06.2025, 01:33:08] Акнур: странно короче
[09.06.2025, 01:33:15] Алибек: У вас вы друг у друга
[09.06.2025, 01:33:16] Алибек: ?
[09.06.2025, 01:33:24] Акнур: Да
[09.06.2025, 01:33:29] Алибек: Прикол)
[09.06.2025, 01:33:30] Акнур: Давно
[09.06.2025, 01:33:31] Акнур: Уже
[09.06.2025, 01:33:33] Акнур: Как две недели
[09.06.2025, 01:33:41] Алибек: Короче Мага Гана калды сенде
[09.06.2025, 01:33:57] Акнур: И я так вот
‎[09.06.2025, 01:33:59] Акнур: ‎<attached: -0000462-PHOTO-2025-06-09-01-33-59.jpg>
[09.06.2025, 01:34:02] Акнур: Бляя нет
[09.06.2025, 01:34:06] Акнур: Еще таких будет
[09.06.2025, 01:34:08] Акнур: 99
[09.06.2025, 01:34:09] Акнур: Алиба
[09.06.2025, 01:34:15] Акнур: это момент такой
[09.06.2025, 01:34:21] Акнур: Еще они все выебыааются
[09.06.2025, 01:34:31] Акнур: А ьля подождите я тоже встану
[09.06.2025, 01:34:32] Акнур: На ноги
[09.06.2025, 01:34:35] Акнур: Очень скоро
[09.06.2025, 01:34:41] Акнур: Тоже буду выебываться и без вас
[09.06.2025, 01:34:48] Акнур: Просто пока мне надо подождать
[09.06.2025, 01:35:03] Алибек: Ле, вот вопрос
[09.06.2025, 01:35:09] Алибек: А зачем ему в манкей
[09.06.2025, 01:35:11] Алибек: 😂😂😂
[09.06.2025, 01:35:14] Акнур: хуй его
[09.06.2025, 01:35:15] Акнур: Блеять
[09.06.2025, 01:35:16] Акнур: Далбоеп
[09.06.2025, 01:35:23] Алибек: Нормально же в уйде баре сидели
[09.06.2025, 01:35:24] Акнур: Я принимаю это как урок
[09.06.2025, 01:35:32] Акнур: Ну типа не то что он далбоеп плохой
[09.06.2025, 01:35:34] Акнур: Это все хуйня
[09.06.2025, 01:35:39] Акнур: Мы все люди хорошие
[09.06.2025, 01:35:44] Акнур: у всех свои тараканы
[09.06.2025, 01:35:48] Алибек: А почему ты в манкей не захотела?
[09.06.2025, 01:35:52] Акнур: я не так была одета
[09.06.2025, 01:36:01] Акнур: Я была в футболке и в джинсах
[09.06.2025, 01:36:02] Алибек: Или почему он в итоге не в манкей а домой поехал
[09.06.2025, 01:36:04] Алибек: Втф
[09.06.2025, 01:36:11] Акнур: со мной вышел из уйде
[09.06.2025, 01:36:17] Акнур: И заказал такси к себе домой
[09.06.2025, 01:36:18] Акнур: Со мной
[09.06.2025, 01:36:22] Акнур: И я говорю не зайду я к тебе
[09.06.2025, 01:36:26] Акнур: Ты там куда собрался
[09.06.2025, 01:36:26] Алибек: Сказал бы ну если не хочешь то гоу в пейс
[09.06.2025, 01:36:30] Акнур: Иди в свой
[09.06.2025, 01:36:32] Акнур: Монкей
[09.06.2025, 01:36:38] Акнур: ты ж ушел и нахуя вернулся
‎[09.06.2025, 01:36:57] Акнур: ‎<attached: -0000424-PHOTO-2025-06-09-01-36-57.jpg>
[09.06.2025, 01:37:01] Алибек: Ты ему сказала я в манкей не хочу и не поеду
[09.06.2025, 01:37:00] Акнур: Посмотри он там?
[09.06.2025, 01:37:06] Алибек: И он сказал окей
[09.06.2025, 01:37:06] Акнур: я сказала что я пас
[09.06.2025, 01:37:09] Акнур: Когда он спросил
[09.06.2025, 01:37:10] Алибек: И встал молча ушел
[09.06.2025, 01:37:14] Алибек: В манкей типа
[09.06.2025, 01:37:16] Акнур: За столом еще не только я была
[09.06.2025, 01:37:21] Алибек: А потом почему-то приебался?
[09.06.2025, 01:37:21] Акнур: Асема. И его друг
[09.06.2025, 01:37:22] Акнур: Сидел
[09.06.2025, 01:37:28] Акнур: Они тоже сказали мы пас
[09.06.2025, 01:37:29] Акнур: Ербол
[09.06.2025, 01:37:39] Акнур: он такой я тогда пошел
[09.06.2025, 01:37:46] Акнур: Вот я тебе говорю как это было
‎[09.06.2025, 01:37:54] Алибек: ‎<attached: -0000408-PHOTO-2025-06-09-01-37-54.jpg>
[09.06.2025, 01:38:03] Алибек: Бля, может он плотно набухался?
[09.06.2025, 01:38:09] Алибек: Поэтому прогнал?
[09.06.2025, 01:38:51] Алибек: Далбоеб?
[09.06.2025, 01:39:07] Акнур: Хз
[09.06.2025, 01:39:08] Акнур: Вот
[09.06.2025, 01:39:24] Алибек: В итоге зачем-то вернулся обратно к столу и пытался к себе на хату тебя забрать?
[09.06.2025, 01:39:39] Алибек: Но не получилось не фартануло
[09.06.2025, 01:39:46] Алибек: И в итоге посрался с тобой
[09.06.2025, 01:39:56] Алибек: Ля внатуре похоже на пьяный прогон😂😂😂
[09.06.2025, 01:40:40] Акнур: Да да и он твердит это ебааа
[09.06.2025, 10:55:37] Алибек: Акнур
[09.06.2025, 10:55:58] Алибек: А нахуя ты с ним к нему подъехала, а потом такая закажи ко мне домой такси
[09.06.2025, 10:56:03] Алибек: 😂😂😂
[09.06.2025, 13:00:15] Акнур: Есть
[09.06.2025, 13:00:16] Акнур: Осек
[09.06.2025, 13:00:19] Акнур: Большой свежи
[09.06.2025, 13:00:22] Акнур: Й
[09.06.2025, 13:00:23] Акнур: Прям
[09.06.2025, 13:00:24] Акнур: Где Нура
[09.06.2025, 13:01:06] Алибек: Я тут
[09.06.2025, 13:01:09] Алибек: Я Нура
[09.06.2025, 13:01:11] Алибек: 😂😂😂
[09.06.2025, 13:01:16] Акнур: Ща перезвоню
[09.06.2025, 13:01:21] Алибек: Оке
[09.06.2025, 13:03:21] Акнур: ‎Video call  ‎1 min
[09.06.2025, 13:13:09] Акнур: ‎Video call  ‎1 hr
[12.06.2025, 10:40:24] Акнур: вы где
[12.06.2025, 10:40:33] Акнур: Срочно
[12.06.2025, 10:40:35] Акнур: Новый осек
[12.06.2025, 10:41:06] Алибек: Я тут
[12.06.2025, 10:41:08] Алибек: Нура спит
[12.06.2025, 10:41:10] Алибек: Че там?)
[12.06.2025, 10:43:20] Алибек: ‎Video call  ‎14 min
[12.06.2025, 11:05:11] Акнур: ‎Call failed  ‎Try again
[12.06.2025, 11:05:35] Алибек: ‎Video call  ‎35 sec
[23.06.2025, 12:53:05] Акнур: Нуре скажи чтоб
[23.06.2025, 12:53:09] Акнур: Позвонила
[23.06.2025, 12:53:10] Акнур: Не
[23.06.2025, 12:53:13] Акнур: Мне*
[23.06.2025, 12:53:33] Алибек: ‎Video call  ‎37 min
[23.06.2025, 13:30:39] Акнур: Мой инет не пашет
[23.06.2025, 13:30:40] Акнур: Попозже
[23.06.2025, 13:30:59] Алибек: Оки
‎[23.06.2025, 13:31:03] Алибек: ‎sticker omitted
[27.06.2025, 16:40:37] Акнур: Оки поки
[27.06.2025, 16:40:39] Акнур: Нура кайда
[01.07.2025, 23:24:21] Акнур: ‎Video call  ‎No answer
[04.07.2025, 13:14:05] Алибек: Сегодня день ЗП)
[04.07.2025, 13:14:07] Алибек: 😂😂😂
[04.07.2025, 13:15:01] Акнур: Ооо все всеее
[04.07.2025, 13:15:05] Акнур: Я как раз к нему домой
[04.07.2025, 13:15:06] Акнур: Сегодня
