[22.10.2024, 22:40:16] Аселек💕: ‎Your security code with Аселек💕 changed.
[12.06.2025, 17:20:47] Аселек💕: Ахахахахаха
[12.06.2025, 17:20:49] Аселек💕: ертен
‎[12.06.2025, 17:20:57] Акнур: ‎<attached: -0000749-AUDIO-2025-06-12-17-20-57.opus>
[12.06.2025, 17:21:17] Аселек💕: шо там?🤣
‎[12.06.2025, 17:21:29] Акнур: ‎<attached: -0000747-AUDIO-2025-06-12-17-21-29.opus>
[12.06.2025, 17:21:50] Аселек💕: гоу гоу
[29.06.2025, 00:36:58] Акнур: Сюда
[29.06.2025, 00:36:59] Акнур: Пиши
[29.06.2025, 00:37:13] Аселек💕: Че там?
[29.06.2025, 00:37:15] Аселек💕: я с ним еще
[29.06.2025, 00:37:19] Аселек💕: меня воще Дияр забрал
[29.06.2025, 00:37:20] Аселек💕: Блять
[29.06.2025, 00:37:22] Акнур: Ахаххааххахаха
[29.06.2025, 00:37:24] Акнур: Всмм
[29.06.2025, 00:37:26] Акнур: Куда
[29.06.2025, 00:37:27] Акнур: Забрал
[29.06.2025, 00:37:30] Акнур: 😆😆😆😆
[29.06.2025, 00:37:43] Аселек💕: Ахахахах
[29.06.2025, 00:37:45] Аселек💕: Тусить
[29.06.2025, 00:37:48] Акнур: Где тусите?
[29.06.2025, 00:37:58] Акнур: ты решила сегодня потусить
[29.06.2025, 00:40:08] Аселек💕: Ангиме бар
[29.06.2025, 00:40:10] Аселек💕: АХАХАХАХ
[29.06.2025, 00:40:18] Акнур: С ним?
[29.06.2025, 00:40:21] Акнур: Или со мной?
[29.06.2025, 00:41:05] Аселек💕: С ним сижу
[29.06.2025, 00:41:08] Аселек💕: И еще его друзья
[29.06.2025, 00:41:15] Аселек💕: ОНИ БЛЯТЬ ДУМАЮТ МЫ ВМЕСТЕ
[29.06.2025, 00:41:16] Аселек💕: СУКА
[29.06.2025, 00:41:19] Акнур: 😆😆😆😆😆
[29.06.2025, 00:41:21] Аселек💕: КЫЗДАР СПРАШИВАЮТ
[29.06.2025, 00:41:23] Акнур: Блеаааа
[29.06.2025, 00:41:27] Акнур: Вы вместе или нет
[29.06.2025, 00:41:30] Акнур: Он че говорит
[29.06.2025, 00:41:33] Аселек💕: хуй знает
[29.06.2025, 00:41:37] Аселек💕: Он все оплачивает ходит
[29.06.2025, 00:41:39] Аселек💕: 😆😆😆
[29.06.2025, 00:44:36] Аселек💕: сука я не могу
[29.06.2025, 00:44:45] Акнур: 😆😆😆😆😆
[29.06.2025, 00:44:47] Акнур: Блеааа
[29.06.2025, 00:44:47] Акнур: Цирк
[29.06.2025, 00:46:00] Аселек💕: Да блять
‎[29.06.2025, 00:49:26] Аселек💕: ‎<attached: -0000709-AUDIO-2025-06-29-00-49-26.opus>
‎[29.06.2025, 00:49:31] Аселек💕: ‎<attached: -0000708-AUDIO-2025-06-29-00-49-31.opus>
[29.06.2025, 01:15:10] Аселек💕: Ему похуй на Мен
[29.06.2025, 01:15:12] Аселек💕: Меня
[29.06.2025, 01:15:15] Аселек💕: мне тоже на него
[29.06.2025, 01:15:18] Аселек💕: Крч солай
[29.06.2025, 01:15:20] Аселек💕: Журмиз
[29.06.2025, 02:45:38] Аселек💕: Бля от
[29.06.2025, 02:45:41] Аселек💕: Я оч пьяная
[29.06.2025, 02:45:46] Аселек💕: БРАТ
[29.06.2025, 02:48:31] Аселек💕: ‎Missed voice call  ‎Click to call back
[29.06.2025, 02:48:43] Акнур: Емааа
[29.06.2025, 02:48:45] Акнур: Пиши
[29.06.2025, 02:48:48] Акнур: Жози спит
[29.06.2025, 02:48:50] Аселек💕: блять я вахуй
[29.06.2025, 02:48:52] Акнур: Ербол едет с тоя
[29.06.2025, 02:48:54] Акнур: Че там
[29.06.2025, 02:48:58] Аселек💕: его все друзья думают
[29.06.2025, 02:49:00] Аселек💕: мы мутим
[29.06.2025, 02:49:02] Аселек💕: сука
[29.06.2025, 02:49:05] Акнур: А он сам че
[29.06.2025, 02:49:05] Аселек💕: нахуй мне это
[29.06.2025, 02:49:08] Аселек💕: я тут пьяная
[29.06.2025, 02:49:18] Аселек💕: Ко мне лесбухи
[29.06.2025, 02:49:21] Аселек💕: Подкатывают
[29.06.2025, 02:49:34] Акнур: Ты ж хотел чтоб он сох
[29.06.2025, 02:49:35] Акнур: По тебе
[29.06.2025, 02:49:39] Акнур: Вот и так начинается
[29.06.2025, 02:49:41] Акнур: С друзей все
[29.06.2025, 02:52:26] Аселек💕: Да блять
[29.06.2025, 02:52:49] Акнур: Когда домой то
[29.06.2025, 02:52:53] Акнур: Или вы вместе
[29.06.2025, 02:52:54] Акнур: Сегодня
[29.06.2025, 02:53:46] Аселек💕: еще сидим блять
[29.06.2025, 02:54:30] Акнур: Дальше
[29.06.2025, 02:54:31] Акнур: Вместе
[29.06.2025, 02:54:35] Акнур: Трахаться?
[29.06.2025, 02:54:46] Аселек💕: Ахахаха нет
[29.06.2025, 03:02:15] Аселек💕: я сижу далада
[29.06.2025, 03:02:18] Аселек💕: хочу выпить
[29.06.2025, 03:02:20] Аселек💕: но мне каж норм
[29.06.2025, 03:02:23] Аселек💕: 😆😆😆
[29.06.2025, 03:02:25] Аселек💕: бляяять
[29.06.2025, 03:02:32] Аселек💕: поговори со мной
[29.06.2025, 03:02:38] Аселек💕: акнууууур мне хуево
[29.06.2025, 03:02:54] Аселек💕: ‎Missed voice call  ‎Click to call back
[29.06.2025, 03:03:57] Акнур: ‎Voice call  ‎46 sec
[29.06.2025, 03:06:44] Акнур: Бро пиши
‎[29.06.2025, 03:11:30] Аселек💕: ‎<attached: -0000661-AUDIO-2025-06-29-03-11-30.opus>
[29.06.2025, 03:11:37] Акнур: Пиши
[29.06.2025, 03:11:38] Акнур: 😆😆😆
[29.06.2025, 03:11:44] Аселек💕: Пью я
[29.06.2025, 03:11:45] Акнур: Или ща выйду я попозже тогда послушаю
[29.06.2025, 03:11:47] Акнур: Ахахаххахаха
[29.06.2025, 03:11:51] Акнур: Аргумент
‎[29.06.2025, 03:11:51] Аселек💕: ‎<attached: -0000654-PHOTO-2025-06-29-03-11-51.jpg>
[29.06.2025, 03:11:52] Акнур: 😆😆😆😆
[29.06.2025, 03:12:01] Акнур: Трахаться не будете
[29.06.2025, 03:12:02] Акнур: Что ли
[29.06.2025, 03:12:04] Акнур: В масле
[29.06.2025, 03:12:06] Акнур: В смысле
[29.06.2025, 03:12:07] Акнур: Бляяя
[29.06.2025, 03:12:13] Аселек💕: Апп ха-ха-ха
‎[29.06.2025, 03:12:33] Аселек💕: ‎<attached: -0000646-AUDIO-2025-06-29-03-12-33.opus>
[29.06.2025, 03:13:26] Аселек💕: Все целуются
[29.06.2025, 03:13:30] Аселек💕: Я тож хочу
[29.06.2025, 03:15:24] Акнур: Айт
[29.06.2025, 03:15:25] Акнур: Оган
[29.06.2025, 03:15:27] Акнур: Тоже хочу деп
[29.06.2025, 03:15:31] Акнур: Что за хуйня
[29.06.2025, 03:15:33] Акнур: Не целуетесь
[29.06.2025, 03:15:35] Акнур: 😆😆😆😆
[29.06.2025, 03:15:44] Аселек💕: АХАХАХАХ
[29.06.2025, 03:15:52] Акнур: Трахаться то когда
[29.06.2025, 03:15:53] Акнур: Тогда
[29.06.2025, 03:15:54] Акнур: Пиздец
[29.06.2025, 03:15:57] Акнур: Я жду Ерболга
[29.06.2025, 03:16:01] Акнур: Чтоб и потрахаться
[29.06.2025, 03:16:02] Акнур: Ахахахахахах
[29.06.2025, 03:16:08] Акнур: Как кролики
[29.06.2025, 03:37:46] Аселек💕: Хааххахахахахахах
[29.06.2025, 03:37:48] Аселек💕: бля
[29.06.2025, 03:37:52] Аселек💕: он забрал меня
[29.06.2025, 03:37:54] Аселек💕: я пьяная
[29.06.2025, 03:37:59] Аселек💕: меня тошнит
[29.06.2025, 03:39:28] Акнур: Куда
[29.06.2025, 03:39:31] Акнур: Забрал
[29.06.2025, 03:39:33] Акнур: 😆😆😆😆
[29.06.2025, 03:39:42] Аселек💕: К друзьям
[29.06.2025, 03:39:48] Акнур: К ним домой
[29.06.2025, 03:39:52] Акнур: ?
[29.06.2025, 03:39:56] Акнур: Ты как набухалась то блеять
[29.06.2025, 03:39:57] Акнур: Хахахахха
[29.06.2025, 03:40:08] Аселек💕: хз
[29.06.2025, 03:40:14] Аселек💕: 4 стаканов пива
[29.06.2025, 03:40:16] Аселек💕: Плюс еще что-то
[29.06.2025, 03:43:30] Аселек💕: я как мал
[29.06.2025, 03:43:38] Аселек💕: Бляяяя
[29.06.2025, 03:44:57] Акнур: Аххахахах
[29.06.2025, 03:45:14] Акнур: Главное с ним будешь
[29.06.2025, 03:46:41] Аселек💕: нет блять
[29.06.2025, 03:46:45] Аселек💕: пошел он нахуй
[29.06.2025, 03:46:58] Акнур: Хахахахаххаха
[29.06.2025, 03:47:00] Акнур: Бляя брат
[29.06.2025, 03:47:06] Акнур: вы ж вместе типа
[29.06.2025, 03:47:11] Акнур: Я даже думаю как его друзья
[29.06.2025, 03:47:14] Акнур: А ты посылаешь
[29.06.2025, 03:47:42] Аселек💕: да пошел он нахуй
[29.06.2025, 03:47:47] Аселек💕: пиво не дает мне пить
[29.06.2025, 11:01:15] Аселек💕: бля
[29.06.2025, 11:01:17] Аселек💕: Акнур
[29.06.2025, 11:01:18] Аселек💕: Тут?
[29.06.2025, 13:18:43] Аселек💕: блять ты все проспишь
[29.06.2025, 13:18:45] Аселек💕: 😆😆😆
‎[29.06.2025, 13:37:15] Акнур: ‎<attached: -0000595-AUDIO-2025-06-29-13-37-15.opus>
[29.06.2025, 14:29:22] Акнур: Сонымен почему
[29.06.2025, 15:36:53] Аселек💕: да заебал
[29.06.2025, 15:36:56] Аселек💕: мозг схавал мне
[29.06.2025, 17:08:10] Аселек💕: Лан все хуйня
[29.06.2025, 17:08:17] Аселек💕: ко мне лесбиянка
[29.06.2025, 17:08:20] Аселек💕: подкатывала вчера
[29.06.2025, 17:08:23] Аселек💕: домой звала к себе
‎[29.06.2025, 17:09:23] Аселек💕: ‎<attached: -0000587-PHOTO-2025-06-29-17-09-23.jpg>
‎[29.06.2025, 17:13:44] Акнур: ‎<attached: -0000586-PHOTO-2025-06-29-17-13-44.jpg>
[29.06.2025, 17:13:47] Акнур: Пикми утка
‎[29.06.2025, 17:14:02] Акнур: ‎<attached: -0000584-PHOTO-2025-06-29-17-14-02.jpg>
[29.06.2025, 17:14:09] Акнур: У него в машине такая есть
[29.06.2025, 17:14:12] Акнур: Я привезла с Испании
[29.06.2025, 17:14:17] Акнур: Короче ему кажется в машине
[29.06.2025, 17:14:19] Акнур: Одиноко
[29.06.2025, 17:14:18] Аселек💕: Ахахахахахахах быляяяя
[29.06.2025, 17:14:21] Акнур: И я заказала
[29.06.2025, 17:14:22] Акнур: Рик и
[29.06.2025, 17:14:24] Акнур: пикмии
[29.06.2025, 17:14:25] Акнур: Это я
[29.06.2025, 17:14:26] Акнур: Типа
[29.06.2025, 17:14:31] Аселек💕: Я закину в сторис?
[29.06.2025, 17:14:34] Акнур: Нет еще
[29.06.2025, 17:14:34] Аселек💕: Типа мне подарили?
[29.06.2025, 17:14:36] Акнур: Кешке
[29.06.2025, 17:14:41] Акнур: Закинь
[29.06.2025, 17:14:50] Аселек💕: Щас хочу😆
[29.06.2025, 17:14:52] Акнур: Ааа мне подарили жеп па
[29.06.2025, 17:14:53] Акнур: Деп?
[29.06.2025, 17:14:55] Акнур: Ааа ладно
[29.06.2025, 17:14:58] Аселек💕: Жаныыыым
[29.06.2025, 17:15:01] Аселек💕: Да
[29.06.2025, 17:15:02] Аселек💕: 😆😆😆
[29.06.2025, 17:16:06] Акнур: Ок ок
[29.06.2025, 17:46:38] Аселек💕: вы как с Ерболом?
[29.06.2025, 18:03:16] Акнур: На стендап идем
[29.06.2025, 18:03:18] Акнур: Сейчас
[29.06.2025, 18:03:19] Акнур: Казакша
[29.06.2025, 18:03:21] Акнур: Стендап
[29.06.2025, 18:03:23] Акнур: Какой то
[29.06.2025, 18:03:24] Аселек💕: аааа
[29.06.2025, 18:03:27] Аселек💕: кайф
[29.06.2025, 18:03:31] Аселек💕: сосын?
[29.06.2025, 18:03:36] Аселек💕: пойдете куда нить?
[29.06.2025, 18:03:42] Аселек💕: Хотя блять ертен жумыс
[29.06.2025, 18:03:47] Аселек💕: И моя печень скажет пока
[29.06.2025, 18:03:50] Аселек💕: Я сток пила вчера
‎[29.06.2025, 18:04:00] Акнур: ‎<attached: -0000547-AUDIO-2025-06-29-18-04-00.opus>
‎[29.06.2025, 18:04:08] Акнур: ‎<attached: -0000546-AUDIO-2025-06-29-18-04-08.opus>
[29.06.2025, 18:04:18] Аселек💕: Вот тоже хочу его смотреть
[29.06.2025, 18:04:22] Аселек💕: Ахахахахахахаха
[29.06.2025, 18:04:33] Аселек💕: Хз сидр сиякты настойка ма
[29.06.2025, 18:04:37] Аселек💕: Дияр покупал
[29.06.2025, 18:04:40] Аселек💕: Анау не сиякты
[29.06.2025, 18:04:44] Аселек💕: Сафонов оплати болдым
[29.06.2025, 18:04:45] Аселек💕: 😅😅😅
[29.06.2025, 18:05:07] Аселек💕: Мне надо будет посоветоваться как нибудь с Ерболом ахахахахахах
[29.06.2025, 18:05:21] Аселек💕: Отырамыз ушеумиз 
Ты Ербол я
Будете слушать мое нытье
[29.06.2025, 18:05:22] Аселек💕: 😆😆😆😆😆😆
[29.06.2025, 18:05:34] Аселек💕: Акнур такая НУ ЕГО НАФИГ😆
[29.06.2025, 18:06:16] Акнур: давай давай
‎[29.06.2025, 18:06:28] Акнур: ‎<attached: -0000533-AUDIO-2025-06-29-18-06-28.opus>
[29.06.2025, 18:06:30] Акнур: Я ж говорила
[29.06.2025, 18:06:37] Аселек💕: гоу
[29.06.2025, 18:06:41] Аселек💕: ерболу норм?
[29.06.2025, 18:06:44] Аселек💕: ахахахахахаах
‎[29.06.2025, 18:07:17] Акнур: ‎<attached: -0000528-AUDIO-2025-06-29-18-07-17.opus>
‎[29.06.2025, 18:07:28] Акнур: ‎<attached: -0000527-AUDIO-2025-06-29-18-07-28.opus>
‎[29.06.2025, 18:08:05] Аселек💕: ‎<attached: -0000526-VIDEO-2025-06-29-18-08-05.mp4>
[29.06.2025, 18:08:05] Аселек💕: Ахахахахаха
[29.06.2025, 18:08:07] Аселек💕: гоу гоу
[29.06.2025, 18:08:08] Аселек💕: ХААХАХ
[29.06.2025, 18:08:11] Аселек💕: осектен калган
[29.06.2025, 18:08:15] Аселек💕: на след неделе
[29.06.2025, 18:08:20] Акнур: Нет там ж есть
[29.06.2025, 18:08:21] Акнур: Еще
[29.06.2025, 18:08:22] Акнур: Аудио
[29.06.2025, 18:08:23] Акнур: Вчерашний
[29.06.2025, 18:08:26] Акнур: Про Токаев
[29.06.2025, 18:08:28] Акнур: Биринщы айткан
[29.06.2025, 18:08:29] Акнур: Найди
[29.06.2025, 18:08:36] Аселек💕: бля лент искать😆
[29.06.2025, 18:08:38] Акнур: Сол заебись
[29.06.2025, 18:08:42] Акнур: ЕРБОЛу норм
[29.06.2025, 18:08:43] Акнур: Дегенды
[29.06.2025, 18:08:44] Акнур: Убери
[29.06.2025, 18:08:44] Аселек💕: перекинь пж 😆
[29.06.2025, 18:08:45] Акнур: Астын тогда
[29.06.2025, 18:08:58] Акнур: Зайди
[29.06.2025, 18:08:59] Акнур: В инсту
‎[29.06.2025, 18:11:05] Аселек💕: ‎video omitted
[29.06.2025, 18:11:07] Аселек💕: АХАХАХАХАХ ОРУ БЛЯТЬ
[29.06.2025, 20:52:06] Акнур: Закинула?
[29.06.2025, 20:52:35] Акнур: Салсайй
[29.06.2025, 20:52:36] Акнур: Приди
[29.06.2025, 20:52:38] Акнур: Енди*
[29.06.2025, 21:16:57] Аселек💕: Салдым го брат
‎[02.07.2025, 22:48:05] Аселек💕: ‎audio omitted
[03.07.2025, 10:37:08] Акнур: Бас калай
[04.07.2025, 20:06:23] Акнур: Ербол когда встречался с девушкой
[04.07.2025, 20:06:25] Акнур: 4 года
[04.07.2025, 20:06:28] Акнур: У них ничего не было
[04.07.2025, 20:06:31] Акнур: Вот после 4го курса
[04.07.2025, 20:06:32] Акнур: Он начал
[04.07.2025, 20:06:35] Акнур: И до 2024
[04.07.2025, 20:06:38] Акнур: прикинь
[04.07.2025, 20:06:46] Акнур: Я ему говорю это не отношение значит
[04.07.2025, 20:06:47] Аселек💕: Милахааа
[04.07.2025, 20:06:52] Аселек💕: Жасик та сондай болды
[04.07.2025, 20:06:54] Акнур: Он говорит так она была девственницей
[04.07.2025, 20:06:59] Акнур: Я говорю как ты ходил 4 года
[04.07.2025, 20:07:03] Акнур: 4 сука года после универа
[04.07.2025, 20:07:04] Акнур: Аселек
[04.07.2025, 20:07:07] Аселек💕: но он мне объяснил, типа не видел с ними будущего деп
[04.07.2025, 20:07:23] Аселек💕: и зачем андай спать с ними дегендей кылды
[04.07.2025, 20:07:34] Аселек💕: ахахаха кпц
[04.07.2025, 20:07:38] Акнур: Так он серьезно встречался
[04.07.2025, 20:07:45] Акнур: И она не хотела до конца
[04.07.2025, 20:07:53] Акнур: И он сказал все давай раз уж мы не будем спать
[04.07.2025, 20:07:57] Акнур: Тогда смысла нету деп
[04.07.2025, 20:08:02] Акнур: Так как женится никто не собирался
[04.07.2025, 20:08:04] Акнур: Ни он ни она
[04.07.2025, 20:08:08] Аселек💕: Тем более вдруг в сексе он не оч
[04.07.2025, 20:08:17] Аселек💕: Или она
[04.07.2025, 20:08:18] Акнур: блеять сол го секс важно го
[04.07.2025, 20:08:31] Аселек💕: Ешкандай махаббат поддерживать не сможет
[04.07.2025, 20:08:47] Аселек💕: у меня крч прикол есть
[04.07.2025, 20:09:00] Аселек💕: мне в принципе не нравится целоваться крч
[04.07.2025, 20:09:09] Аселек💕: но вот Жасик топ целовался
прям андай приятно было
[04.07.2025, 20:09:11] Аселек💕: и Дияр
[04.07.2025, 20:09:13] Аселек💕: 😆😆😆
[04.07.2025, 20:09:13] Акнур: В целом?
[04.07.2025, 20:09:18] Аселек💕: все
Остальные так себе
[04.07.2025, 20:09:21] Акнур: Бляя почему классно же целоваться
[04.07.2025, 20:09:25] Акнур: сразу трахаться надо?
[04.07.2025, 20:09:30] Аселек💕: то есть если мне нравится целоваться с челом
[04.07.2025, 20:09:36] Аселек💕: то мне нравится он
[04.07.2025, 20:09:43] Аселек💕: ондай емес
[04.07.2025, 20:09:46] Аселек💕: каз объясню
[04.07.2025, 20:09:56] Аселек💕: бывает же человеку что-то определенное нравится
[04.07.2025, 20:10:00] Аселек💕: и ты понимаешь твой чел
[04.07.2025, 20:10:14] Акнур: Я когда целуюсь с Ербол его жеп койгым келеды
[04.07.2025, 20:10:16] Акнур: Ахаххахахахах
[04.07.2025, 20:10:16] Аселек💕: вот так у меня с поцелуями 
тип егер поцелуй унаса, то значит мой чел
[04.07.2025, 20:10:17] Акнур: Скаааа
[04.07.2025, 20:10:21] Аселек💕: ахахахах
[04.07.2025, 20:10:29] Аселек💕: я же не всех жабысып обнимаю
[04.07.2025, 20:10:35] Аселек💕: но если обнимаю значит близкий для меня
[04.07.2025, 20:10:41] Акнур: Я тоже кстати редко знаешь даже адамнын
Пот нравмлся
[04.07.2025, 20:10:45] Аселек💕: соган тип келтирип отырмын
[04.07.2025, 20:10:47] Акнур: Я недавно замечала просто
[04.07.2025, 20:10:49] Аселек💕: Да вот
[04.07.2025, 20:10:50] Акнур: Начала нюхать
[04.07.2025, 20:10:51] Аселек💕: Видишь
[04.07.2025, 20:10:51] Акнур: Его пот
[04.07.2025, 20:10:56] Акнур: Нравится мне это или нет
[04.07.2025, 20:10:56] Акнур: Деп
[04.07.2025, 20:11:04] Аселек💕: так вот менде про поцелуй 😆
[04.07.2025, 20:11:14] Аселек💕: секс хуйня 
прелюдия кушти
[04.07.2025, 20:11:30] Акнур: диярдвн пот нюхай след раз
[04.07.2025, 20:11:33] Акнур: Если тебе зайдет
[04.07.2025, 20:11:35] Акнур: Тогда твой чел
[04.07.2025, 20:11:36] Аселек💕: я еще помню 
стоим целуемся и андай взяла укусила Дияра😆 оч нравилось целоваться с ним
[04.07.2025, 20:11:38] Акнур: Без парфюма
[04.07.2025, 20:11:43] Аселек💕: Он пздц вкусно пахнет
[04.07.2025, 20:11:59] Аселек💕: крч зануда жигиттер топ
[04.07.2025, 20:12:06] Аселек💕: которые за собой ухаживают ‎<This message was edited>
[04.07.2025, 20:31:05] Акнур: блеааа
‎[05.07.2025, 14:41:41] Акнур: ‎<attached: -0000426-PHOTO-2025-07-05-14-41-41.jpg>
‎[05.07.2025, 14:41:41] Акнур: ‎<attached: -0000425-PHOTO-2025-07-05-14-41-41.jpg>
[05.07.2025, 14:41:52] Акнур: Мама его
[05.07.2025, 14:41:58] Акнур: Дома его фотографии ерболдвн везде
[05.07.2025, 14:42:01] Акнур: Сыночка сыночка деп
[05.07.2025, 14:42:21] Аселек💕: У него кроссы как у Дияра хахахахахахахах
[05.07.2025, 14:42:31] Аселек💕: Бля
[05.07.2025, 14:42:34] Аселек💕: Это хуйня
[05.07.2025, 14:42:39] Акнур: Единственный же
[05.07.2025, 14:42:39] Аселек💕: Мамина корзиночка болмасын
[05.07.2025, 14:42:39] Акнур: Ребенок
[05.07.2025, 14:42:44] Акнур: сол го
[05.07.2025, 14:42:49] Акнур: Маме букет девушку одну розу
[05.07.2025, 14:42:51] Акнур: Болмасын
[05.07.2025, 14:42:52] Аселек💕: А щеглы кто?
[05.07.2025, 14:42:57] Акнур: Племяшки
[05.07.2025, 14:43:01] Аселек💕: Ну
[05.07.2025, 14:43:17] Аселек💕: Дияр тоже единственный, но мамасы каж немного холодная
[05.07.2025, 14:43:28] Аселек💕: батясы прикольный
[05.07.2025, 14:43:43] Акнур: батясын сегодня увижу
[05.07.2025, 14:43:44] Акнур: Кстати
[05.07.2025, 14:43:45] Акнур: На свадьбе
[05.07.2025, 14:43:47] Акнур: Будет
[05.07.2025, 14:43:48] Акнур: 👍😆😆😆
[05.07.2025, 14:43:50] Аселек💕: Ооо
[05.07.2025, 14:43:53] Аселек💕: А мама?
[05.07.2025, 14:43:58] Акнур: она в Европу сьебалась
[05.07.2025, 14:43:59] Аселек💕: Это чья свадьба воще?
[05.07.2025, 14:44:00] Акнур: 😆😆😆😆
[05.07.2025, 14:44:01] Аселек💕: Я забыла
[05.07.2025, 14:44:04] Аселек💕: О кайф
[05.07.2025, 14:44:06] Акнур: Двоюродный брат его
[05.07.2025, 14:44:11] Аселек💕: Мяяяяя
[05.07.2025, 14:44:12] Аселек💕: Ну всё
[05.07.2025, 14:44:18] Акнур: Ербол Нурбол
[05.07.2025, 14:44:20] Акнур: 😆
[05.07.2025, 14:44:23] Аселек💕: родственники такие 🤙🏻🤙🏻🤙🏻
[05.07.2025, 14:44:31] Акнур: каз соска болып бару керек
[05.07.2025, 14:44:31] Акнур: Бляяя
[05.07.2025, 14:44:32] Акнур: Переживаю
[05.07.2025, 14:44:35] Акнур: Как буду выглядеть деп
[05.07.2025, 14:44:37] Акнур: Туф
[05.07.2025, 14:44:40] Аселек💕: Через год когда Эмир будет жениться
[05.07.2025, 14:44:44] Аселек💕: прикинь Дияр поймёт
[05.07.2025, 14:44:46] Аселек💕: Что любит меня
[05.07.2025, 14:44:52] Аселек💕: Сосын айтам саган ебать деп
